stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0.93,0,0,0,0,0,0,0,0,1.01,0,0,4.95,0,0,0,0,0,0,0,0
 24-34,1.96,0,0,1.12,0,0,0,0,0,0.67,0,0,0.74,0,0,57.89,0,0.95,0,0,9.97,0,0,0
 36-46,0,0,0,19.43,0,0,0,0,0,0,0,0,1.62,0,0,109.36,0,0,0,0,32.74,0,0,0
 48-58,0,3.08,0,94.17,2.94,0,4.62,0,0,0.41,0,0,2.19,0,0.82,431.71,0,0,0,0,50.23,0,0,0.46
 60-70,0,0,0,84.5,0,0,6.94,0,3.15,0,0,0,3.18,0,0.6,374.78,0,0,0,0,54.06,0,0,0
 72-82,1.2,0.54,0,93.14,0,0,16.98,0,69.79,1.71,0,0,16.12,0,0,782.81,0,3.67,0,0.97,66.93,3.42,0,0
 84-94,0,0,0,59,0,0,5.97,0,23.66,9.64,0,0,3.04,0,0,217.71,0,0,0,0,14.31,0,0,0
 96-106,2.62,0.85,0,32.08,0,0.66,4.96,1.86,80.02,0.61,2.25,0,6.23,0.8,0.61,258.95,7.5,0,2.03,0,26.09,0,1.39,0
108-118,0,0,0.89,31.58,0,2.54,2.36,0,74.56,0,0,1.32,8.48,0,0.57,82.39,0,0,0,0.41,2.79,0,0,0
120,0,0,0,18.98,0,0,17.15,0,162.37,0,0,0,2.8,0,0,71.07,0,0,0,0,18.55,0,0,0
