stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.14,138.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,25.68,0,0,0,0,3.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,28.44,0,0,0,0,0,0.84,0,46.8,0,0,0
 24-34,0,0,1.28,0,0,2.88,0,0,1.42,0,2.15,0,0,1.89,0,0,475.14,0,0,0,0,0,0,0.81,138.31,4.34,0,0
 36-46,0,0,0,0,0,8.35,0,0,0,0,0,0,0,0.62,0,1.67,1134.76,0,0,4.08,0,0,0,0,188.82,12.37,0,0
 48-58,0,0,0,0,0,69.15,12.05,0,14.5,0,0,0,0,12.73,0,0,1338.74,2.93,0.88,0,0,0,0,0,271.28,6.33,0,0
 60-70,0,0,0,0,0,442.96,0,0,17.99,0,0,0,0,7.69,0,0,1329.95,0,0,0,0,0,0,0,218.5,0,0,0
 72-82,0,0,2.55,14.38,0,920.2,0,0,31.77,0,1.91,0.49,0,22.7,0,1.93,1194.4,0,0.91,0.69,0,0,0,0,200.93,9.59,0,2.9
 84-94,0,0,7.31,3.29,0,629.73,0,1.13,24.31,0.57,0,0,0,23.82,2.23,6.93,899.46,0,0,0.86,2.78,0,0,0,145.81,7.3,1.17,0
 96-106,0,0,11.84,20.33,1.52,825.3,0,0,8.52,0,0,2.26,0.73,35.14,1.76,0,813.3,0,4.73,5.55,4.78,0,0,0.7,52.7,6.42,0,4.26
108-118,0,0,16.02,0,0,896.95,0.73,2.97,7.99,0.63,0,0,0,54.81,2.83,1.48,1121.18,0.5,0,1.17,1.67,0,0,1.91,61.82,7.63,1.11,1.98
120,0,0,38.83,3.93,0,778.55,11.9,5.39,66.32,0,0,0,0,40.63,0,8.47,1530.72,0,0,0,2.27,0,0,0,28.49,1.65,1.8,0
