stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,11.43,46.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.23,0,0,0,0,0,12.86,0,3.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.92,0,0,6.61,0,0.81,0,0.92,0.83,1.65,0,0
 24-34,0,0,1.2,0,3.35,0,0,2.36,0,0.62,41.49,0,0,1.26,0,0,0.69,0,0
 36-46,0,0,0,0,0.92,0,0,2.08,0,0,14.02,0,0,0.66,0,0,1.78,0,0
 48-58,0,0,0,0,2.75,1.1,0,6.09,0.56,0,6.07,0,0,0,0,0,1.73,0,5.79
 60-70,0,0,0,3.82,1.07,0,0,0.69,7.4,0,37.85,0,0,0,0,0,0,0,1.37
 72-82,0,0,0,0,6.92,6.96,0,1.57,0.72,0,8.1,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,6.12,3.15,0.79,0,0,0,10.81,0,0,0.82,0,0,0,0,0
 96-106,0,0,0,2.66,2.66,0,0,0,0,0,1.58,1.43,0,6.32,0,0,0,0,0
108-118,0,0,0,0,2.74,0,0,0,0.83,0,3.08,0,0,0,0,0,0,0.44,0
120,0,0,0,0,7.03,3.7,2.69,0,0,0,6.03,0,0,1.07,0,0,0,0,0
