stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,88.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,103.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.1,0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.04,11.36,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.53,0,0,0,62.58,0,0,0,0,4.8,0,0,0,0,0,0,0
 14-21,0,0,0,28.59,3.94,0,7.92,0,0,0,9.08,0,0,1.23,0,0,0,0,15.7,0,0,22.89,123.6,5.51,0,4.47,8,0,2.42,0,19.6,1.05,12.3,58.14,0,0,0,0,0
 24-34,0,0,0.62,0.6,0,0,2.51,0,1.1,0.76,6.39,1.44,0,0,0,2.08,0,0.68,20.06,2.38,0,6.51,93.57,0.73,0.83,1.45,0,0,18.44,0,0.85,0,1.29,29.95,0,0,2.42,0,0
 36-46,0,0,0,1.04,1.12,0,16.07,0,0,4.43,6.49,0.59,0,0.75,0,0.83,1.91,0.61,28.58,0.78,0,6.53,83.49,0,0,0.8,0,0,11.66,0,0,11.04,0,11.71,0,0,4.54,0,0
 48-58,0,0,0,2.68,0,0,18.25,0.54,0.75,1.73,13.1,0,0,0.58,6.26,0,0,0.61,29.1,2.25,0,6.67,66.28,3.51,0,0.82,0,0.53,21.95,0,0,0,0,13.22,0,0,5.94,0,1.21
 60-70,0,0,0,8.17,0,0,32.09,0,3.18,0,9.19,0,0.97,0.9,7.86,0,0,0,31.22,2.35,0,3.58,24.82,1.21,2.62,1.01,0,4.81,10.32,0,0,0,0,4.91,0,0,2.3,0,0
 72-82,0,0,0,1.01,0,0,43.49,0.92,1.49,11.19,45.28,0.62,0,1.96,1.46,0,0,0,97.8,11.62,0,14.45,69.11,0.66,2.24,3.25,0,2.24,20.79,1.65,0,0,0,11.59,0,0.75,13.88,1.45,2.74
 84-94,0,0,0,6.25,5.36,0,23.71,2.98,0,4.08,17.29,0,0,1.12,0,0.68,0,0,90.26,2.24,2.23,8.39,45.71,0,0.56,0,0,0,27.72,0,0,0,0,21.71,0,2.37,20.02,3.96,0
 96-106,1.12,0,0,3.97,0.85,0,17.62,0,0,9.84,21.07,0,0,1.3,1.07,0,0,0,107.36,7.7,7.31,1.53,40.94,0,1.34,6,0,0,22.95,0,0,0,0,3.98,0,0,4.1,3.79,0
108-118,0,0,0.49,4.77,5.82,2.61,13.9,0,2.82,3.21,19.69,0.42,0,0,3.83,1.55,0.74,0.41,71.55,7.18,6.62,5.58,45.68,0.99,0,2.78,0,2.49,31.55,0,0,0,0,6.27,0,1.35,3.42,1.86,3.35
120,0,0,0,5.48,1.63,0,22.73,0,0,3.17,9.7,0,0,0,7.55,0,6.51,6.78,40.23,0,8.38,0,38,4.45,13.94,4.29,0,0,27.6,0,0,0,0,0,2.39,1.52,5.31,6.5,0
