stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,107.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,8.07,0,0,0,0,0,0,0,0,0,26.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.07,0,0,3.33,0,0,0,0,0,0,0,0,0,31.8,12.5,0,21.61,0,0,0,4.5,0,0,0
 14-21,0,0,6.08,1.03,2.68,0,0,0,0,0,0,3.98,0,7.48,40.03,2.71,0.84,0.82,0,0,3.56,0,8.68,10.12,0.93
 24-34,0,0,0,0,1.2,0,0,0,0,0,0,1.68,0,0.59,25.7,0,0,0,0,0,0,0,0,3.89,0
 36-46,0,0,0,0,1.18,0,0.62,0,9.05,0,0,0.91,0,0,12.53,0,0,0,0,0,0,0,0,3,0.81
 48-58,0,0,0,0,6.98,0,0,7.32,0,0,0,1.33,0,4.04,8.9,0,0,0,0,0,0,0,0,0.65,0
 60-70,0,0,0,0,1.03,0,0,0,0,0,0,8.1,0,0,7.28,0,0,0,0,0.75,0,0,0,0,0
 72-82,0,0,0,0,1.39,0,0,0.63,0,0,0,1.87,0,0,2.13,0,0,0,0,0,0,0,0,0,2.12
 84-94,0,0,0.74,0.83,1.39,0.68,0,2.61,0,0,0,1.48,1.8,0,1.43,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0.91
108-118,0,0,0,0,0,0.6,0,0.88,0,0.44,1.31,5.05,0,0,5.02,0,0,0,1.02,0.47,0,0,0,0,0
120,0,0,1.23,0,0,0,0,0,0,0,0,2.31,0,0,9.63,0,0,0,0,0,0,0,0,0,0
