stage,gut,immune,mesenchyme,neural,vasculature,xanthophores
 14-21,0,0,0,1.21,0,0
 24-34,0,0,0,0,1.04,0
 48-58,0,2.21,1.2,0,0,0
 60-70,0,9.92,0,0,0.7,0.79
 72-82,0.72,8.04,0,5.73,0,0
 84-94,2.31,2.69,0,0,0,0
 96-106,0.88,3.93,2.87,0,0,0
108-118,0.63,0.43,0,0,1.7,0
120,0,14.27,0,0,2.15,0
