stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.8,84.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.75,12.46,0,3.41,0,0,16.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.26,7.99,0,0,30.18,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.27,0,0,65.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.57,0,0,0,18.34,0,8.74,0,7.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,5.96,0,1.76,0,0,0,4.35,0,0,0,0,0,0,0.85,0.9,0,0.88,74.54,0.85,1.87,0,0,0,0,2.8,0,1.74,6.65,51.42,0,0,0,0,0
 24-34,0,0,3.75,0,0,0,20.88,0,0,0,4.27,0,0,0,0,0,0,1.41,1.83,0,0,667.31,0,25.14,1.16,0,0,0,0,1.99,0,1.51,177.07,0,0,3.87,0,0
 36-46,0,0,0,0,0,0,194.43,0,0,0.88,30.66,0,1.64,0,0,0,0,0,6.89,0,0,1348.96,0,26.62,0,0,12.96,0,0,0,0,0,245.52,0,0,8.39,0,0
 48-58,0,0,0.53,0,2.96,0,659.08,0.51,0,0.47,74.01,3.3,0,0,0,2.58,2.77,0,21.56,0,3.31,1671.87,0,9.53,0.7,0,7.35,0,0,0,0,0,265.58,0,0,1.37,0,17.08
 60-70,0,0,0,0,1.86,0,1131.5,0,0,0,51.3,1.64,0.76,7.11,0,0,0,0,3.1,1.71,0,1776.94,0,3.84,0,0,0,0,0,0.93,0,0,236.07,0,0.71,0.66,0,0
 72-82,0,0,4.05,0,6.53,0,1174.06,1.52,0,0,24.72,1.79,0,0,4.62,0,0,0,14.2,2.02,3.99,1251.01,0,17.89,5.74,0,3.86,0,0,0,0,0,107.03,0,0,0.71,0,0
 84-94,0,0,1.71,0,6.65,0.6,712.2,0,1.58,1.21,24.96,1.22,0,0,0,0.67,0.83,0,28.12,2.84,1.49,722.2,0,8.65,2.39,0,6.9,0,0,0,0,0,42.61,3.9,1.08,0.61,0,0.88
 96-106,0,0,0.87,0,1.18,20.36,580.83,0,0,0,25.45,0,0,0.75,0,0,0,0,11.44,1.29,10.25,581.22,1.29,18,3.19,0,4.4,0,0,0,0,0,24.34,0,0,0.92,0,0
108-118,0,0,0,0,5.14,1.47,489.29,0,1,2.63,8.3,1.45,0,0,0,0,0,2.16,17.18,0,1.11,634.99,0,8.86,0.74,0,5.92,0,0,0,0,0,28.57,0,3.27,1.57,0.57,0.52
120,0,0,3.01,0,1.69,0,448.16,0,0,0,71.1,0,0,0,0,3.86,0,0,42.36,0,1.82,1250.61,0,50.86,13.06,0,0,0,0,0,0,0,25.9,3.15,0,16.67,0,0
