stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.62,396.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,0,0,0,0,0,0,0,0
  5-6,29.68,1246.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,15.4,0,24.86,0,0,0,0,0,0,0,0
  7-9,3.25,79.46,0,39.72,0,0,51.85,0,0,0,0,0,0,0,0,0,0,1141.15,24.37,0,0,239.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.86,0,35.83,0,0,49.55,0,0,0,0,0,0,0,0,0,0,401.38,3.08,0,0,45.11,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,35.15,3.79,7.42,0,24.56,0,0,1.17,0,0,12.08,0,2.22,103.96,6,0,0,25.15,0,88.41,22.63,1.22,7.67,140.19,0,3.04,0,0
 24-34,0,0,0,0,2.08,0,7.81,0,1.97,0.64,0,0,0,0,12.04,0,4.11,28.37,0,0,0.99,0,0,1.87,0,0,1.51,8.42,0,0,0,0
 36-46,0,0,0,0.63,3.82,0,37.55,0,2.94,0,0,0,0,0,9.06,0,4.15,41.99,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0
 48-58,0,0,0,0,0,0,36.33,0,8.88,0,0,6.13,0.56,0,9.87,0,1.41,26.11,2.02,0,0,0,0,0,0,0,0,6.72,0,2.01,0,1.32
 60-70,0,0,0,0,6.6,0,55.48,0,11.11,0,0,0,0,0.72,11.43,0,1.48,11.71,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 72-82,0,0,0,0,0.69,0,6.81,1.1,10.61,0,0,0,0,0,6.73,0,0,11.15,0,0,0,0,0,4.66,0,0,0,4.78,0,0.67,0.91,0
 84-94,0,0,1.44,0,0.91,0,7.04,1.05,7.08,0,0.69,0,0,0,6.1,0,0,2.96,0,2.69,0.65,0,0,2.59,0,0,0,0.82,0,0,0,0
 96-106,0,0,0,0,0,0,3.07,0,3.43,1.95,0,1.44,1.64,0,9.83,0,0,14.34,0.95,0,0,0,1.96,2.25,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.93,1.12,8.48,0,7.88,6.89,0,0,0,0,14.8,0,1.59,4.06,0,0,0.43,0,3.72,2.66,0,0,0,2.21,0.54,0,0,0
120,0,0,0,0,0,0,6.37,0,18.25,1.67,4.39,0,0,0,12.21,4.3,9.29,7.51,0,0,0,0,0,3.3,0,0,0,3.97,0,0,0,0
