stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.07,250.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.22,458.32,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,57.18,10.72,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.65,19.06,0,31.06,0,0,48.54,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,296.21,0,0,0,80.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.74,0,5.6,0,0,13.07,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,120.57,0,0,0,36.52,0,0,5.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.83,10.45,0,5.49,0,2.11,0,0,0,0,0.96,0,0,0,1.01,3.07,0.95,0,2.52,92.45,2.25,0,0,2,0,1.31,0,14.3,7.57,31.53,0,0,1.02,0,0
 24-34,0,0,0,0,5.08,0,5.18,0,2.24,0,0,0,0,2.04,0,0,0,0,9.19,0,0,6.22,125.93,1.8,0,0.67,0,0,0,0,0,2.38,31.81,0,0,2.02,0,0.6
 36-46,0,0,0,0,2.71,0,19.62,0,6.72,0,0,1.33,0,0,0,0,0,0,11.11,0,0.8,8.91,123.52,0,0,0,0,0,0.91,0,0,0,30.49,0,0,0,0,0
 48-58,0,0,0,0,0.44,0,35.49,0,10.68,0,0,0,0,0,0,0,0,0,8.79,0,0.6,2.77,110.29,0,0,0,0,0,0,0,0,0,21.62,0,0,1.49,0,6.16
 60-70,0,0,0,0,0,0,61.49,0,0,0,0,0,0.6,0,0.67,0,0,0,6.95,0,0,0.71,80.51,0,0.6,0,0,0.71,0,0,0,0,10.96,0,0,2.38,2.04,0
 72-82,0,0,0,0,4.06,4.76,35.73,0.74,4.95,0,0,0,0,0,0,0,0,0,16.73,0,1.17,1.4,41.31,0,0,1.06,0,0,1.13,0,0,0,1.09,0,0,0.72,0,0
 84-94,0,0,0,0,0,10.41,19.45,0.58,6.48,0.66,0,0,2.03,0.8,0,0,0,0,3.46,0,0.73,0.98,40.04,0,0,1.44,0,0,0,0,0,0,1.25,1.46,0,2.27,0,0
 96-106,0,0,0.91,0,0.97,0,22.26,0.93,5.07,1.55,0,0,0,0,0.74,0.63,0,0,6.39,0,1.14,1.1,28.55,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.16,0.5,20.34,0,10.7,0,0,0,0.65,0,1.03,0,0.76,0,16.66,0,0,2.9,30.16,0,0,0.43,0,0,0.48,0,0,0,0,0,1.66,0,0,0
120,0,0,0,0,1.02,0,42.74,0,0,0,0,0,2.31,0,0,0,0,0,11.61,0,0,2.36,23.35,0,0,0,0,0,0,0,0,0,0,0,1.54,1.51,0,9.68
