stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.95,0,0,0,0,0,0,0,0
  7-9,0,7.07,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,38.04,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.31,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,115.92,0,0,0,15.73,0,20.51,0,7.91,0,0,0,0,0,0
 14-21,0,1.04,9.63,1.89,1.86,1.16,0,2.67,1.33,0,0,0,2.81,0,0,0,0,4.9,0,0,1.69,14.96,0,0,0.94,2.95,0,65.09,3.76,0.94,4.93,9.51,0,4.97,0,0
 24-34,0,0,5.78,0,1.49,1.72,0,1.67,0.64,0,1.13,0,3.64,0,1.58,0,1.29,5,0.71,0,0.73,42.98,1.82,1.22,0,0,0,76.75,0,1.31,0.59,10.71,0,2.38,0,0.62
 36-46,0,0,11.73,0,4.14,0,0,8.47,0,0,0.56,0,0,0,0.6,0,0,4.34,6.77,0,2.78,34,0,0,0,0,0,59.99,0,1.16,0,5.55,0,3.72,0,22.17
 48-58,0,0,6.89,0,5.54,0,0.38,8.19,0,0,0.97,0,0.61,0,0,0,7.41,5.31,1.16,0,0.99,35.8,0,0.61,0,0,0,38.81,0,0.47,0,6.54,0,11.24,0,0
 60-70,0,0,8.87,0,10.97,0,0,21.74,0,0,0,0,0,0,0.66,0,0,9.37,2.19,0,0,41.35,0,0,0.86,0,0,43.38,0,1.79,0,1.1,0,3.96,0,18.53
 72-82,0.69,0,6.95,4.71,11.42,1.71,3.87,19.59,0,0.52,0,0,3.35,5.43,0,0,0,11.9,1.83,5.07,2.99,27.81,0,1.05,0,0,1.78,49.45,0,1.63,0,3.56,0,6.9,1.5,8.71
 84-94,0,0,12.15,0,11.1,0.63,0,7.98,9.18,0,0,6.45,7.87,2.33,0.61,1.18,0,18.94,0.76,3.04,0,32.05,0,0.77,1.27,0,0,157.19,0,4.9,0,12.43,0,1.49,0,4.86
 96-106,0,0,25.38,0,22.85,7.89,4.79,6.62,0.76,0,0,2.9,10.71,4,2.25,14.46,0,23.74,2.53,1.48,0,19.29,0,2.95,2.11,0,0,93.41,0,0.6,0,3.78,3.87,3.82,2.72,18.19
108-118,1.94,0,46.4,1.3,25.63,7.31,0,12.22,4.26,0,1.25,4.9,8.65,6.16,3.04,1.49,0.47,22.97,4.42,0,2.28,39.75,0,1.2,0,0,4.36,112.62,0,3.36,0,0,5.25,2.69,0.97,5.82
120,12.53,0,15.43,8.88,0,27.15,0,28.26,4.14,0,1.61,6.93,15.75,0,0,7.25,10.94,18.32,0,0,2.52,19.17,0,5.27,0,0,0,40.09,0,1.22,0,0,3.57,6.47,1.59,0
