stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.55,39.72,1.97,0,1.07,0,0.95,0,0,0,5.97,0,0,0.81,0,0,0,7.14,0,0,7.37,74.13,3.41,0,0.94,0,0,0,9.74,1.04,2.72,8.71,7.76,0,0,0,0,0
 24-34,0,0.71,10.76,1.11,0,17.46,0,0,0,0.94,0,0,5.58,0.73,0,0,0,0,15.06,0,0,7.15,119.3,0.63,0,1.91,0,2.76,0,0,2.16,1.66,1.29,9.44,0,0,0.85,0,0
 36-46,0,0,4.98,0,0,4.71,0,2.76,0,2.83,0,0,0,0,0,0,0,0.87,7.69,0,0,1.49,34.33,0.62,0,0.65,0,0,0,0,0,0,0,6.28,0,0,3.23,0,0
 48-58,0,0,6.21,0,0,8.02,0,0,0,6.52,0,0,0.44,0,0.41,0.42,0,1.77,20.53,0.95,0.84,2.37,14.91,0,0.4,0,0,1.87,0,0,0,0,0,3.8,0,0,0.4,0,0.85
 60-70,10.41,0,4.1,0,0,9.6,0,1.49,0,9.92,0,0,0.7,0,0.58,0,0,0,28.99,0,0,0.82,25.83,0.83,0,0,0,7.14,0,0,0,0,0,0,0,0,2.12,0,0
 72-82,0,0,0.77,0,0,8,0,0,0,9.82,0,0.55,0,0,0,0,0,0,21.35,0,0.75,1.26,11.04,0,0,8.29,0.83,1.54,0,0,0,0,0,0,0,0.85,1.16,0,0
 84-94,0,0,1.45,0,5.53,5.79,0,0,0,5.09,0,0,0,0,0,0,0,2.03,8.65,0,0,2.29,5.27,0,0,0,0,1.12,1.4,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.5,5.42,0,4.87,0.71,0,6.18,7.54,0,0,0,0.9,0.56,0.57,0,0,13.25,0,0,0,37.99,0,0,1.77,0,0,0,0,0,0,0,0,0,0.76,0,0,0
108-118,0,0,1.66,1.36,0.58,4.73,0,0,0.94,8.85,0.42,0,0,5.21,0,0,1.53,0.88,16.1,0.53,0,1.09,15.84,0,0,0.69,0,0.67,0,0,0.45,0,0,0,0.43,0,1.11,1.28,0
120,0,0,7.56,0,0,2.94,0,2.08,0,2.88,0,0,0,1.78,0,0,0,0,6.94,0,0,0,15.35,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0
