stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12137.58,190416.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7860.85,0,0,0,0,0,0,0,0,0
  5-6,15367.42,183730.96,0,176.01,0,0,0,0,0,0,0,658.28,0,0,0,0,0,0,0,0,5676.64,542.82,0,0,1200.06,4170.91,0,0,0,0,0,0,0,0,0
  7-9,2573.83,2457.5,0,3523.2,0,12.91,6585.8,0,0,0,0,2666.09,0,0,0,0,0,0,0,0,74357.82,2922.79,0,0,25416,240.9,449.17,0,0,0,0,0,0,0,0
 10-12,13.58,570.74,0,1012.93,0,75.94,2115.54,0,0,0,0,217.34,0,0,0,0,9.05,0,0,0,15544.36,690.07,0,0,5584.41,64.93,64.74,23.47,612.06,0,43.45,12.56,0,0,0
 14-21,0,0,141.78,28.99,444.67,51.31,94.4,0,0,5.47,15.91,9.63,2.53,3.42,1.34,0,1.99,94.6,0,68.68,1196.38,138.48,1.73,29.38,45.82,93.58,3.73,252.44,28.8,77.33,273.45,868.64,0.84,0,0
 24-34,0,0,60.67,0,4.34,1.4,4.49,0,0,4.99,0,0,0.8,42.92,0,0,2.56,7.08,1.1,2.55,128.34,0.83,0,18.83,0,24.27,0,0,0,0.65,1.78,659.2,0,0,0
 36-46,0,0,6.75,0,0,0,1.44,0,0,0,0,0,0.82,57.3,0,0,0.57,0.7,0,0,24.88,0,0,34.48,0,10.1,0,0,0,0,0,145.22,0,0,2.61
 48-58,0,0,0.41,0,0,0,8.26,0,0,1.53,0.38,0,0,31.38,0,0,0,0,0,0,10.96,0.39,0,57.66,0,5.16,0,0,0,0,0,4.41,0,0,0
 60-70,0,0,110.54,0,0,0,22.3,0,0,5.78,0,0,0,9.84,0,0,0,0,0,0,12.29,5.54,5.13,155.75,0,5.23,0,0,0,0,0,1.84,0,0,0
 72-82,0,0,401.63,0,0,0.91,11.6,0.57,0,1.09,13.74,0,0,8.77,0,0,92.48,2.17,0,0,41.39,0.89,0,318.86,0,0.99,0,0,0,0,0,0,0,1.87,0
 84-94,0,0,306.37,0,2.52,0,2.67,0,0,0,1.22,0,0,10.36,0,1.74,1.17,2.13,0,0,2.94,0,0,619.7,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,235.33,0,3.09,0,11.91,0,0.6,2.21,18.75,0,0,9.54,0,0,13,9.43,0,0,7.52,0,0,792.76,0,3.42,0,0,0,0,0,4.92,3.09,0,3.22
108-118,0,0,140.41,0,2.25,1.52,9.47,0,0.58,5.45,8.63,0,0,12.75,0.51,0,6.41,11.42,0,0.75,26.47,0,0,722.69,0,3.53,0,0,0,0,0,0,0,0,0
120,0,0,94.89,0,3.93,0,0,0,0,8.95,0,0,0,20.17,0,0,0,0,0,0,28.81,0,0,1191.17,0,0,0,0,0,0,0,0,0,0,0
