stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord
  3-4,200.48,2408.01,0,0,0,0,0,0,0,0,0,0,0,0,23.22,0,0,0,0
  5-6,50.98,1030,0,0,0,0,0,0,0,0,0,41.79,0,15.67,17.06,0,0,0,0
  7-9,16.44,6.59,3.28,0,16.52,0,0,22.15,0,0,0,275.73,20.82,110.77,0,5.5,0,0,0
 10-12,0,6.05,0,0,0,0,0,0,0,0,0,86.76,0,41.44,0,0,0,7.77,0
 14-21,0,0,1.03,2.72,0.98,0,1.1,0,0,1.21,0.87,23.41,0,1.02,2.28,0,0.91,0.84,2.95
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.68,0.76,0,1.88,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,2.16,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.4,0,7.48,0,0,2.23,0,0,0,0.48
 72-82,0,0,0,0,10.39,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,11.27,0.78,0,0,0,0,0,0,0,0,1.24,0,0,0,0
 96-106,0,0,0,0,14.22,0.74,0,0,0,0,0.83,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,12.9,0,0,0,4.63,0,0,0,0,0,1.34,0,0,0,0
