stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,2.07,0,0,0.99,0,0,0,0,0,0,0,0,0.87,0,0,1.71,25.18,0,0,1.21,0,0,1.81,0,0,2.07,12.28,0,0,0
 24-34,0.8,0,3.84,0,0,0.97,0,0,0,0,0,0,0,0,1.43,0,0,0,34.61,1.03,0,0,0,0,0,0,0,0.64,14.5,0,0,0
 36-46,0,0,4.01,0,0,2.22,0.57,2.19,0,0,0,0,0,0,4.96,0,0,0,43.53,0,0.57,0,0,0,0,0,0,0,8.87,0,0,0
 48-58,0.64,4.28,9.36,0,0.45,3.04,0,0,0,0,0,0,0,0.83,4.47,0,0,0,44.8,0,0,0,0,0,0,0.66,1.2,0,4.72,0,0.81,0
 60-70,0.65,6.07,3.88,0,0,0.65,0,0,0,0,0,0,0,0,4.77,0,0,0,40.11,0,0.86,0,0.63,0,0,1.18,0,0,12.19,0,0,0
 72-82,0.54,49.25,10.11,0,1.29,4.6,0,0,0.58,0,0.49,2.88,0,0,13.77,0,0,2.63,52.68,0,0.65,0,0,2.33,0,0,0,0,21.46,0,4.79,3.06
 84-94,0.57,41.6,12.62,0,0,1.44,0,0,0,0,0,0,0,0,10.88,1.03,0,0,21.29,0,0,0,0,5.5,0,1.91,0,0,3.64,0,0,0
 96-106,0,89.95,7.56,0,0,12.09,0,0,2.66,0.63,0,0,5.76,0,15.06,0,1.42,0.9,33.87,1.76,0.79,0,0,7.46,0,0.6,0,0,0,1.03,2.19,0
108-118,0.47,130.65,9.53,3.67,0,9.17,0.89,0,7.34,0,0,0,0,0,8.08,0,0,0.81,35.04,0,0.99,0,0,4.37,0,0,0,0,0,0,7.5,0
120,2.28,170.68,9.38,0,0,18.1,4.66,0,0,0,0,0,0,0,10.11,0,0,1.56,40.23,0,0,0,0,2.75,0,0,0,0,10.16,0,22.68,0
