stage,endoderm,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
 14-21,0.93,0,0,0,0,0,0,5.16,0,0,0,2.14,1.25,0
 24-34,0,1.49,0.64,0.7,0,0,0,13.28,0.77,0,2.74,0,1.3,1.36
 36-46,0,0,0,0,0,0,0,3.69,0,0,4.16,0,0,0
 48-58,0,0,0.44,0.82,0,0,0,4.6,0,0,3.08,0,0,0
 60-70,0,0,0,0,0,0,0,11.37,0,0,4.73,0,0,0
 72-82,0,0,9.74,0,0,3.34,0,0.6,0,0,0.71,0,1.56,0
 84-94,0,0.56,0,0.58,0,1.22,0,0.56,0,0,3.28,0,0,0.73
 96-106,0,0.7,0,0.68,0,5.95,0,1.7,0,0.96,0,0,0,0
108-118,0,0,0,1.34,0,2.96,1.1,4.97,0,0,5.96,0,1.41,0
120,0,0,0,0,1.09,0,7.29,0,1.99,0,1.25,0,0,0
