stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,29.81,0,0,7.1,0,0,0,0,0,0
 14-21,1.31,1.17,1.81,0,0,0,0,0,0,0,15.95,0,0,0,1.39,0.91,0.86,5.92,0,0
 24-34,0.65,0,0,0,0,0,0,0,2.84,0,23.88,0,0,0,0,0,0,3.99,0,0
 36-46,6.02,0,0,0,0,0,0,0,2.55,0,16.22,0,0,0,0.73,0,0,0.8,0,0
 48-58,0,0,0.54,0,0,0.47,0,0,1.56,0.56,9.15,0,0,0,0,0,0,1.47,0,0
 60-70,2.05,0,1.39,2.24,3.51,0,0,0,0,0,5.26,0,0,0,2.35,0,0,0,0,0
 72-82,0,0,7.65,0,2.86,0.51,0.64,0,9.92,0,0.59,0,0,0,0,0,0,0,0,0
 84-94,5.13,0,0,0,0.93,0,0,0,0.66,0,2.18,0,0,0,0.71,0,0,0,0.9,1.59
 96-106,0,0,0,0,0,0,0,0,2.86,3.64,0,0.62,0,0,0,0,0,0,0,2.86
108-118,2.28,0,2.55,0,0,0,0,1.8,1.58,0,1.94,0,2.13,0,2.15,0,0,2.7,0,0
120,3.99,0,0,0,0,0,0,0,4.88,0,0,0,0,0,1.66,0,0,0,0,0
