stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.57,0,3.79,0,0,0,25.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.06,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.61,0,0,0,8.88,0,0,0,0,8.93,0,0,0,0,0,0,0,0,0,118.96,0,0,0,34.82,0,5.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,3.43,0,2.64,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,15.1,0,1.74,0,1.66,2.9,1.26,0,2.58,3.18,5.31,0,0,0,0
 24-34,0,0,0.6,6.81,0,0,0,0.85,0,0,0,0,0,0,0,0.78,0,0.84,0,0,0.87,38.7,0.61,2.34,0.69,0,43.72,0,0.61,0,1.28,4.29,0,2.87,0,0
 36-46,0,0,0,0,0,0,1.38,0,0,2.69,0.72,0,0,0.56,0,0.74,0,2.92,0,0,0.64,39.8,1.12,0,0,0,12.23,0,0,1.16,0,6.62,0,1.36,0,0
 48-58,0,0.42,0,2.56,0,0,5.08,0,0.49,1.17,3.33,0,0,0,0,0,0.5,6.8,0,0,0,28.54,0,1.95,0,0,8.86,0,0,0,0,7.87,0,0,0,0.38
 60-70,0,0,0,0,1.45,0,2.71,0,0,4.57,0,0,0,6.2,0,2.2,0,1.25,0,5.13,0,28.22,1.36,0,0,0,6.6,0,0,0,0,0.77,0,0,0,0
 72-82,0,0,0,1.32,10.68,0,12.04,0,0,2.75,0,0,0,0.66,0,0.64,0,11.17,0,0,1.73,14.22,0,2.01,2.56,0,5.82,0,0,0,0,2.77,0,0,1.95,0
 84-94,0,0,0,6.33,8.39,0,2.82,0,0.59,1.34,1.9,0.99,0,0.55,0,1.53,0,3.17,0,0,0,37.91,0,0,4,0,7.88,0,0,0,0,0,2.5,0.94,0,0
 96-106,0,0,0,3.89,9.93,0,9.86,0,0,1.59,1.15,0,2.95,0,0,1.72,0,9.68,1.15,0,0,2.28,0,4.56,1.98,0,10.61,0,0,0,0,0,0,2.17,0,0
108-118,0,0,0,5.55,7.63,0.65,14.65,4.16,0,0,0.46,0,2.53,0.82,1.6,1.23,0,6.15,7.11,0,0,4.78,0,3.02,0.94,0,16.37,0,0,0,0,2.26,0,0,0,2.54
120,0,2.94,0,9.11,2.74,0,0,1.16,0,0,0,0,0,0,0,0,0,6.48,0,0,0,17.3,0,0,3.1,0,3.06,0,0,0,0,0,0,0,0,0
