stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,36.37,1138.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.82,0,0,0,0,0,0
  5-6,69.79,1680.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,0,0,6.81,0,0,0,0,0,0
  7-9,52.42,125.86,66.83,0,6.96,251.54,0,0,0,0,0,0,0,0,0,0,0,2525.17,54.05,0,0,494.71,0,11.14,0,0,0,0,0,0
 10-12,0,29.52,80.78,0,12.18,111.95,0,0,0,0,0,0,0,0,0,0,0,1398.17,84.35,0,0,361.95,0,5.07,3.57,21.18,0,7.84,0,0
 14-21,0,0,0,5.18,9.45,1.7,0,0,0,0,0,0,7.54,0,0,5.85,8.56,81.33,2.67,0,0.97,0.86,0,0.89,4.83,0,8.96,36.99,1.09,0
 24-34,0,0,0,4.79,0,3.97,0,0,5.22,0,1.33,2.26,0.59,0,0.68,6.46,3.15,100.67,0.71,2.85,1.32,0,0,0,0,0,0,25.76,0.71,0
 36-46,0,0,0,8.16,0,6.94,0,0,6.89,0,0,0,0,0,0,6.53,1.17,50.88,0,0,0.71,0,0,0,0,0,0,14.09,3.69,0
 48-58,0,0,0,0,0,11.99,0,0,2.89,0.75,0,0,0,0,0,8.37,0.42,54.6,0,0,0.44,0,0,0,0,0,0,11.89,0,3.12
 60-70,0,0,0,4.11,0,9.85,0,0,10.72,0,0,0,0,0,0,6.97,0.61,15.8,1.36,1.02,0,0,0,0,0,0,0,5.38,0,0
 72-82,0,0,0,0,0,6.82,0,0,12.74,0,0,0,0,0,0,12.1,0.68,20.9,0,1.09,1.22,0,2.26,0,0,0,0,0,1.89,0
 84-94,0.62,0,0,1.58,0,0.89,0.84,0,9.28,0,0,0,0.76,0,0,11.35,2.35,11.96,0,0,0.97,0,0,1.09,0,0,0,0,0,0
 96-106,0,0,0,1.62,0,2.34,0,1.24,9.9,0,0,0,0,0,0,9.23,2.14,13.35,0,0,1.01,0,0,2.92,0,0,0,0,3.23,0
108-118,0,0,0,1.82,0,2.03,2.29,0,17.05,0,0,1.08,0.49,1.42,0,17.17,2.16,4.24,0.55,2.43,0,0,0,1.47,0,0.55,0,0,0,0
120,0,0,0,7.56,0,2.78,5.63,0,4.7,0,4.06,2.36,0,0,0,10.41,0,21.87,0,0,0,0,0,0,0,0,0,0,0,0
