stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,18.61,0,0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,17.13,20.18,83.94,0,4.72,0,1.34,0,0,77.92,0,96.19,155.18,0,0,0,0,6.87,27.59,21.54,0,0,3.32,0,0
 24-34,0,0,3.13,0,6.1,0,9.34,0,0,0,0.7,23.03,1.7,9.34,18.48,0,0.69,0,0,5.1,0,9.89,0,0,4.69,0,0
 36-46,0,0,0,0,14.32,0,0.64,0,0,0,0,22.75,0,7.42,7.1,1.09,0,0,0,1.49,0,7.25,0,0,2.98,0,0
 48-58,0,0,0,0,135.74,0,1.17,0,0,0,0,0.39,0,0,1.76,0,0,0,0,0,0,0.39,0,0,0.91,0,0
 60-70,0,0,0,0,1122.69,0,3.18,0,0,0,0,1.71,0,0,34.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.39,0,2380.27,0.61,19.86,0,0,0.9,0,5.1,0,0,39.5,0,0,0,0,0,0,1.1,0,0,0,0,0
 84-94,0,0,1.42,2.13,1649.83,0.8,22.86,0,0,0,0,11.14,0,2.22,36.07,0,2.28,0,6.26,0,0,0,0,1.27,0,1.16,0
 96-106,0,0.91,14.14,12.42,1955.79,0,17.83,0,0,0,0,3.71,0,0,16.8,0,0,3.01,0,0,0,0,0,0,3.15,0.64,4.53
108-118,0,0,11.88,0,1182.08,0.77,7.91,0.71,0,0,0,8.36,0,0.83,37.75,0,0,0,0,0,0,1.9,10.26,1.53,2.17,0,0
120,0,0,33.84,10.04,568.71,0,35.15,0,0,0,0,13.54,0,0,65,0,0,0,0,0,0,0,0,0,4.33,10.94,0
