stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,32.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0
  7-9,11.5,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,10.46,0,0,7.05,0,0,0,0,0,0,0,0
 10-12,9.78,0,0,0,0,0,0,0,0,0,0,37.35,0,0,0,0,0,0,0,0,0,0,39.73,0,0,0,4.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.96,0,0,0,0,0,5.83,0,0,1.5,0,0,0,0,0,0,1.95,0,0.89,5.85,0.81,0,0,0,1.97,0.86,0,0,3.49,28.78,0,0
 24-34,0,0,0,0,1.68,0,3.13,0.81,0,12.55,0,0,0,0,0,0,1.01,0,0.78,6.87,0,0.86,21.55,0.75,2.13,0,0,4.16,0,0,0,3.43,88.1,0,0
 36-46,0,0,0,3.18,0,0,3.38,0,0,9.86,0,0,0,0,0,0,0,0,17.05,6.93,1.5,1.26,19.62,0,6.06,0,0,4.68,0,0,0.67,0,82.12,0,2.17
 48-58,0,0,0,0,0,0,6.2,0,0,24.85,0,0,0,0,0,0.39,0,0,3.99,9.1,0,0.59,16.51,0,16.91,0.62,0,0,0,0,0,0,40.57,0,0
 60-70,0,0,0,1.74,0,0,3.11,0,0,28.64,0,0,0,0,0,0.72,0,0,1.93,36.31,0,0,21.41,0.58,9.73,0,0,4.04,0,0,0,0,26.04,0,0
 72-82,0,0,0,0.79,0,1.04,4.82,0,0,49.13,0,0,0,0.58,0,0,0,0,0.49,22.79,4.5,0.57,9.5,0,9.88,0,0,2.28,0,0,0,0,16.58,0,2.57
 84-94,0,0,0,2.37,0,0,10.98,0,1.32,41.37,2.96,0,0,1.1,0.91,0.62,3.14,0.58,8.6,27.13,1.6,1.3,4.15,1.07,21.95,0,0,3.54,0,0,1.43,0,48.55,0,5.91
 96-106,0,0,0,3.92,0,0,8.87,0,1.02,35.83,2.43,0,0,1.19,0.8,0.64,0,0,1.34,18.84,5.3,0,8.6,0.62,17.77,0,0,5.11,0,0,0,0,41.52,1.02,0
108-118,0,0,0,5.18,7.62,4.61,10.55,0.75,4.27,20.59,1.03,0,0,0.45,0.59,0.78,0,0,1.82,23.02,0,5.05,8.59,0,15.25,0,0,2.77,0,0.62,0,0,19.83,0,0
120,0,0,0,0,0,0,5.9,0,0,76.05,0,0,0,3.38,0,0,0,0,0,41.21,0,0,20.13,0,3.8,0,0,1.75,0,0,0,0,18.48,0,1.14
