stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.81,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.84,8.11,0,0,0,0,0,0
 24-34,0,7.02,0,0,0,0,0,0,32.46,0,6.24,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,6.42,0,1.06,0,41.32,0,2.83,0,0,0,0.62,0,0,0
 48-58,0,0,0,6.7,6.04,0.83,0,0,46.41,0.84,2.93,6.18,0,0,0,0,0,1.29
 60-70,0,0,8.99,0,2.39,0,0,4.06,151.86,0,6.48,4.85,0,0,0,2.23,0,0
 72-82,0,0,5.07,0,2.41,0,0,0,157.08,2.04,5.29,14.33,0,1.26,0,5.52,2.87,0
 84-94,0,0.89,2.49,0,2.81,2.02,0,0,120.34,3.82,4.7,4.91,0,0,0,0.89,0.72,0
 96-106,0,0,1.31,0,0,0,1.55,0,48.23,2.14,0.88,0,0,0,0,0,3.2,0
108-118,0,0,9.06,1.06,5.87,0,0,0,141.59,6.33,2.2,4.39,1.23,0,0,0,1.37,0
120,0,5.65,0,0,5.39,0,2.09,1.42,317.5,6.16,0,13.87,0,0,0,3.8,7.95,0
