stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,17.5,303.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,204.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.46,0,0,0,0,0,0,0
  7-9,5.61,9.43,0,7.94,0,0,0,16.04,0,0,0,0,15.09,0,0,0,0,0,0,0,155.93,0,0,0,46.44,0,0,0,0,0,0,0
 10-12,0,5.51,0,5.95,0,0,0,32.64,0,0,0,0,0,0,0,0,0,0,0,0,141.55,3.39,0,0,39.4,0,0,11.02,0,0,0,0
 14-21,0,0,0,0,1.75,0,0,1.04,0,0,1.19,0.98,0,0,0,0,0,0.96,0,0.8,69.69,1.73,0,0,0,0,6.26,1.08,38.78,0,0,0
 24-34,0,0,0.6,0,2.34,0,0,10.48,0,0,1.45,0,0,0,0,0,0,2.96,0,0.75,132.54,0.7,3.29,1.71,0,1.52,0,0,43.4,0,0,0
 36-46,0,0,0,0,0,0,0,26.31,0,0,0,0,0,0.93,0,0,0,5.37,0,0,116.64,0,0,0,0,0,0,0,35.6,0,0,0
 48-58,0,0,0,0,0,0,0,38.54,0,0,14.17,0,0,0,0,0,0,6.89,0,0.94,66.64,0,0,0,0,0,0,0,16.96,0,0,0
 60-70,0,0,0,0,0.6,0,0,32.86,0,0,197.28,0,0,0,0,0,0,5.16,0,0,14.15,0,0,0,0,0,0,0,26.27,0,0,0
 72-82,0,0,0,0,0,3.78,0,21.7,0,0,452.88,0,0,0,0,0,0,9.16,0.94,0.63,27.19,0,2.06,1.16,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.04,0,0,18.63,0,0,479.73,0,0,0,0,0,0,4.39,2.87,0.96,17.03,0,1.13,2.2,0,0,0,0,6.57,2.12,0,6.4
 96-106,0,0,0,0,2.1,0,0,22.93,1.79,8.29,632.68,0,0,0,0.86,0,3.87,7.53,0,1.08,38.17,0,0,0,0,0,0,0,2.4,0,2.24,0
108-118,0,0,0.71,0,5.16,0,0,13.53,0,0,945.39,0,0,0,0,0,0,6.73,0,1.97,31.77,0,0,0.77,0,0,0,0,18.07,0,0,0
120,0,0,0,0,4.24,0,1.61,57.95,0,2.93,1289.08,0,0,0,0,2.21,0,1.06,0,0,58.71,4.81,0,8.58,0,6.02,0,0,9.97,0,0,0
