stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,hatching_gland,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,30.27,0,0,0,5.33,0,0,0
 10-12,0,0,0,0,0,0,4.05,0,0,0,0,8.94,4.54,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,13.74,0,0,0,0,0,4.74,0
 24-34,0,0,0,1.26,0,0,0,0,0,0,0,118.37,0,4.68,0.72,0,1.11,27.12,0
 36-46,0,0,0,16.68,0,0,0,0,0,0.7,0,391.7,0,0,0,0,0,44.57,0
 48-58,0,0,5.38,35.43,0,6.99,0,2.03,0,0.42,0.65,424.79,0,0.9,0,0,0,62.03,0
 60-70,0,0,0,92.57,0,1.78,0,6.5,0,1.59,0,331.91,0,0,0,0,0,55.78,0
 72-82,0,0.97,2.17,120.83,0,0,0,0,0,0,0,226.07,0,3.73,0,0,0,18.91,0.63
 84-94,0,0,2.35,81.57,0,1.76,0,0,0,3.14,0,202.41,0,0.83,0.85,0,0.92,5.53,0
 96-106,0,0,0,92.93,0,1.41,0,0,0,0,0,103.54,0,0,0,0,2.14,5.58,0
108-118,0,0,1.62,36.59,0.73,7.59,0,0,0,0.69,0,102.09,0,0,0.66,0,0,2.75,0
120,0,0,1.7,41.29,0,15.27,0,0,5.48,0,0,152.08,0,0,0,0,0,0,0
