stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,24.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.68,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,3.98,44.12,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,0,0,15.76,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.08,0,0,10.36,0,0,0,0,0,0,0,4.15,0,0,0,34.19,0,0,0
 24-34,0,0,1.36,0,0,0,0,0,0,0,0,0,18.16,0,0,0,0.62,0,0,0,7.59,11.66,0,0,48.12,1.19,9.35,0
 36-46,0,0,0,0,0,0.67,0,0,0,0,0.76,0,8.44,0,0.79,0,0,0,1.45,0,25.23,3.23,0,0,91.9,0.72,0,0
 48-58,0,0,0,0.5,0,2.64,0,0,0,0.49,3.98,0,1.27,0,0.48,0,0,0.71,0.71,0,22.14,6.01,0.39,0,46.24,0,0,0
 60-70,0,1.48,0,0.66,0,2.67,0,0,0,5.9,0,0,6.29,0,0,0,0,0.91,0,0,2.36,4.34,2.25,0,29.03,1.32,0,2.18
 72-82,0,1.67,0,3.93,0.59,2.06,2.7,1.51,0.75,0,0,0,7.71,0.75,4.14,0,0,1.06,2.91,0,31.54,7.94,7.91,0,23.04,0,1.41,1.63
 84-94,0,0,0,11.59,0,14.93,0.97,0,2.24,11.99,0,0,6.43,0,3.49,0,0,5.74,3.32,0.98,5.85,2.79,9.56,0,75.01,1.54,0,2.6
 96-106,0,3.6,0,11.68,0,0,0,0,0,8.29,1.06,0,9.95,0,3.66,6.49,0,0,7.23,0,9.14,6.33,6.06,0,53.59,0,0,3.17
108-118,0,1.03,0.44,11.22,0,1.34,0.96,0,2.25,11.46,0,0.61,13.77,0,0,1.66,0,2.52,10.85,0,8.86,9.32,4.3,0,44.78,1.61,0,12.25
120,0,0,0,3.18,0,0,4.91,0,0,2.46,0,0,5.28,0,0,0,0,0,2.7,0,0,13,4.03,0,27.62,1.87,0,6.72
