stage,eye,fin_mesenchyme,gut,neural
 14-21,0.96,0,0,1.01
 36-46,0,0,0,2.3
 48-58,0,0.48,0,0
 60-70,0,0,1.6,1.39
 72-82,1.37,0,0,0
