stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord
  5-6,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,1.36,0,0,0,0,0,0,1.85,0,0,1.02,0,0,0,0
 24-34,0,0,2.23,0,0,0.83,0,0,0,0,0,0,0,7.8,0,1.43,0,0
 36-46,0,0,0,0,0,5.09,0,0,0.89,0,0,0,0,40.36,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.5,0,0,0,0,11.13,0,0,0,0.89
 60-70,0,0.57,0,0,2.53,0,0,0,3.33,0,0.59,0,0,6.89,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.51,0,0,0.97,4.81,0,5.71,0,0,0,0
 84-94,0,0,0,0,11.09,1.1,0,0,0,0,0.72,0,0.72,5.33,0.56,0,0.62,0
 96-106,0,0,0,0,0.59,0,0,1.05,0,4.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.48,1.28,5.98,0,1.81,0,1.5,2.84,4.8,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.38,0,0,0,1.85,0,0,0,0
