stage,axial,blastomeres,eye,neural,periderm,vasculature
  3-4,12.39,501.54,0,0,29.03,0
  5-6,6.85,109.56,0,19.47,0,0
  7-9,5.44,0,5.48,12.78,0,0
 10-12,0,0,0,3.71,0,0
 24-34,0,0,0,0,0,0.98
