stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites
  3-4,33.99,555.97,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.09,775.16,0,0,0,12.54,0,0,0,0,9.67,24.63,0,0,0
  7-9,20.31,32.12,26.59,27.07,0,12.07,0,510.18,23.81,0,119.89,0,5.5,0,0
 10-12,0,3.34,58.04,19.29,0,14.63,0,379.93,8.64,0,70,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.32,0,0,0,0,0,1.6,0.99
 24-34,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0
 36-46,0,0,0,0.77,0,0,0,1.74,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.99,0,0,0,1.97,0,0,0
 60-70,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0
108-118,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0
