stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,21.34,24.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.63,0,0,0,0,0,0,0,0,30.4,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.15,0,0,7.92,0,0,18.88,0,0,9.41,0,0,0,0
 10-12,0,0,0,0,4.65,0,0,0,0,0,30.96,5.13,0,5.24,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.29,0,2.8,0,0,0,0,2.23,0.82,0
 24-34,0,0,0,0.83,0,0,0,0,1.05,0,5.83,0,0.65,0,0,0,1.03,0
 36-46,0,0,0,0.56,3.96,0,0.63,0,1.12,0,2.62,0,0,0,0,0,5.57,0.78
 48-58,0,0,0,0,3.43,0,0,0,1.39,0,5.94,0,0,0,0,0,0.9,0
 60-70,0,0,0,0,9.13,0,0,1.03,0.74,0,1.49,0,0,0,0,0,0.83,0
 72-82,0,0,0,0,1.61,0,1.31,0,0.51,0,1.22,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,9.16,0,0,0,0.99,0,0,1.42
 96-106,0,0,0,0,0.65,0,0,0,3.63,0.88,2.9,0,0,0,0,0,0,0
108-118,0,0,0,0,0.41,2.11,0,0,0,0,4.44,0,0,0,1.19,0,0,2
120,0,0,1.28,0,2.16,0,0,0,0,0,13.72,0,0,0,0,0,0,0
