stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,23.14,0,0,0,0,0,0,36.98,0,0,0,3.73,0,0,0,0,0,0,0,0
 10-12,4.08,0,31.38,0,0,0,0,0,0,0,0,81.56,0,0,0,0,0,0,55.77,3.71,0,0,59.16,0,0,5.44,5.73,0,0,0,0
 14-21,0,0,8.1,12.98,0,0,1.27,0,0,0,1.14,0,6.83,0,0,0.9,0,0,6.7,0,0.98,0.88,0.89,1.21,2.82,39.77,3.92,3.28,0,0,0
 24-34,0,0.97,0.67,2.55,0,0,2.35,0,0,0,0,0,17.91,0.68,0,0.76,0.72,0.6,25.21,0,14.46,3.88,0,0,0,73.79,1.44,0.69,0,1.3,0
 36-46,0,0,0,0,0,0,2.36,0,0,0,0,0,14.8,0,0,0.68,0.61,0,15.17,0.6,29.04,1.46,0,0.59,0,53.56,0,1.03,0,0,0
 48-58,0,0,0,1.26,0,0,0.99,0,0,0.5,0,0.4,7.59,0.51,7.96,0.37,0.45,0.38,23.36,0,13.52,2.08,0,0,0,41.92,0,5.18,0,0,0
 60-70,0,0,0,0,0,0,5.53,1.14,0,0,0,1.21,15.31,0,0,0.75,1.27,2.34,13.8,0,28.91,1.26,0,0,0,33.07,0,1.16,0,0,0
 72-82,0,0,0,1.48,0,0,14.64,0,0,0.62,1.97,0,7.03,3.32,0,2.23,0,0,6.56,0,24.6,2.38,0,0.95,0,16.01,0,5.65,0,0,0.91
 84-94,0,0,0,0,4.41,0,0,0.57,0,0.69,0,0,19.05,0,0,0.65,1.81,0,9.22,0,34.85,0.96,0,0,0,28.88,0,0,0.66,0,0
 96-106,0,0,0,0.61,0,0,3.83,0,0,0,3.45,0,13.86,0.71,0,4.15,1.11,0,9.94,0,30.52,1.22,0,2.81,0,20.5,0,6.52,0,0.83,0
108-118,0,0.41,0,3.54,0,3.52,6.74,0,0.72,0.7,1.36,0,14.66,1.64,2.21,0.44,1.06,0,15.92,0,20.56,1.58,0,0,0,17.32,0,0.62,0.55,0,1.57
120,0,0,0,9.25,0,0,13.89,5.79,0,0,0,0,13.65,0,0,3.91,0,0,0,4.62,12.78,4.64,0,0,0,24.14,0,0,0,3.45,0
