stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,9,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.93,4.99,0,0,198.88,0,0,0,0,0,0,0,0,0
 10-12,0,11.43,5.93,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,18.81,11.52,0,0,651.46,0,0,25.55,0,65.64,0,0,0,0
 14-21,0.89,0,1.12,19.69,0,0,1.31,0,0,0,0,1.7,1.19,42.13,0,0,4.6,0,77.91,0,0,74.34,39.82,0,0,0,3.93,2.15,324.47,0,1688.78,5184.54,2.29,0,1.02,1.69
 24-34,0,0,0.59,9.21,0,0,13.91,498.96,0,0,2.94,0,0,22.51,0,0.64,0,0,36.47,0,0.91,177.46,276.5,0.75,0.65,2.04,0,13.82,7.4,2.24,403.59,1980.4,30.34,0,21.89,51.29
 36-46,0,0,0,11.68,0,0,10.21,523.01,1.85,0,3.75,0,0,9.18,0,0,0,0,10.06,0,0,85.73,119.79,0.68,0,0,16.41,5.13,0,2.72,187.7,101.41,18.97,0,0.99,8.04
 48-58,0,0,0,0.38,0,0,30.97,295.93,4.29,0.97,5.89,0,0,2.33,0,0,0,4,11.95,0.41,0,127.13,77.66,4.39,0,0.42,0,2.12,0,0,99.97,2.82,26.52,1.89,1,11.16
 60-70,0,0,0,3.78,3.3,0,15.37,175.48,0,1.45,0.57,0,0,1.17,0,0,0,0,1.9,0,0,119.57,73.17,1.1,0,0,1.62,5.62,0,0,71.96,0,4.22,0,0,17.33
 72-82,0,0,0,1.14,0.49,0,29.45,112.56,0,0,11.61,0.84,0,1.36,0,0,0,0,7.78,0,0,68.3,32.52,0,0,0,2.25,0,0,0,28.92,0,1.45,3.24,0.5,15.63
 84-94,0,0,0,1.92,8.72,0,29.4,98.12,0,0,2.58,0.86,0,0.76,2.07,0,0,9.29,13.8,0,0,60.25,10.67,0,0.57,0,0,4.39,0,0,19.37,0,3.57,0.74,1.95,7.88
 96-106,0,0,0,5.06,1.99,0,40.27,63.47,2.14,0,6.1,0,0,2.01,0,0.77,0,0,15.49,0,0,41.01,27.97,0,0,0,0,4.86,0,0,15.44,0,0,1.87,2.2,4.75
108-118,0,0,0,0,0.66,1.61,19.39,53.8,0,0,0,0,0,4.62,2.96,0,0,0,0.66,0,0,59.85,28.32,0.55,0,0,0,1.85,0,0,14.91,0,0,0,6.57,2.45
120,0,0,0,0,0,0,15.55,145.54,0,0,0,0,0,0,0,0,0,0,40.08,0,0,100.1,9.74,0,0,0,0,0,0,0,10.03,0,0,4.13,0,0
