stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,120.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.82,0,0,3.5,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,47.15,4.67,0,0,59.31,0,0,7.76,0,0,0,0,0,0,0,0
 10-12,0,5.06,0,4.52,0,0,14.13,0,0,0,0,4.64,0,0,0,0,0,0,139.12,0,0,0,27.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,1.86,0,0,5.93,0,0,0,0,0,0,0,0.81,0,0.8,5.72,0,0,0,0
 24-34,0,0,0.75,0,3.62,0,0.73,0.63,0,0,0,0,0,0,0,5.33,0,1.8,31.37,0.83,2.33,0,0,0,0,0,0,0.65,0,6.89,0,0,1.5,0
 36-46,0,0,0,0,1.3,0,2.69,0,0,2.24,0,0,1.36,0,0,10.05,0,0.72,38.66,2.93,0.81,0,0,0,1.36,0,0,0,0,8.92,0,0,1.16,0
 48-58,0,0,0,0,0.37,0,11.03,0,0.49,1.38,0,0,0,0,1.31,10.24,0,0,42.12,0.51,0,0,0,0,0.8,0,0,0,0,9.22,0,0,0,0
 60-70,0,0,0,0,4.99,0,24.77,0,0,0,0,0,6.34,2.56,0,23.44,0,1.59,78.42,1.03,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0
 72-82,0,0,0,0,0.53,0,9.54,1.5,0.57,4.17,0,0,0,0,0,19.75,0,1.91,70.78,0.53,0,3.62,0,0,0,0,0,0,0,6.85,0.5,0.5,0,0
 84-94,0,0,0,0,1.2,0,3.73,0,0,2.72,0,0,0,0,0,16.79,5.72,0,24.79,0,0,0,0,0,1.97,0,0,0,0,5.38,0,0,0.77,1.05
 96-106,0,0,0.61,0,0,0,18.08,0,0,0,0,0,0,0,0,8.55,0.59,0,41.12,0,0,0.87,0,1.47,0,0,0,0,0,0,0,0,0.92,0
108-118,0,0,0,0,1.03,0,14.97,0,0,0.74,0,0,0,0,0.44,33.81,0,2.64,54.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,10.44,8.66,0,0,6.6,1.55,0,0,0,0,0,0,0,159.8,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0
