stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.5,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,30.82,10.01,11.58,0,7.76,0,0
 10-12,0,17.83,0,0,0,0,0,0,0,0,0,0,64.64,0,5.25,0,0,12.9,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0.92
 24-34,0,0,0,0,0.59,0,0,0,0,0,0,0,2.37,0,0,0.74,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.12,0.95,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.38,0,0,1.81,0,1.51,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.14,0,0,0,0.6,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.67,0,1.89,0,0,0,0,2.35,0,0,0,0,0,0,0,0
 84-94,0,0,0.93,6.04,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.69,0,2.4,0.71,0,0,0,0,0,0,0
108-118,0,0,0,1.5,0,0,0.61,0,0.7,0,5.5,0,0,0,0,0.57,0,0,0
120,0,0,0,0,0,0,0,0,1.82,0,3.31,0,0,0,0,2.64,0,0,0
