stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.78,0,0,0,3.67,0,0,15.15,0,0,0,0,0,0,0
 14-21,1.18,22.7,1.88,0,0,0,2.68,1.96,1.07,0,0,0,0,0.93,0,2.58,0,0,0,7.7,0,0.85,0,0,0,3.37,0,1.86,0,0,0,4.82,0,0
 24-34,0,6.34,8.28,2.12,4.18,0,0,0,0.8,0,0,0,0,0,0,1.79,0,0,0,21.2,0.7,0,0.78,0,0,6.85,0,0,10.54,0,0,47.95,0,2.35
 36-46,0,3.19,18.5,1.03,3.68,0,1.51,0,1.72,0,0,1.37,0.57,0,0,0,0,0,0,54.65,0,0.91,0,0,0,4.49,0,0,0.7,0,0,46.69,0,0
 48-58,0,0,0,6.07,0,0,0.69,0,0.83,0,0,10.38,0,0,0.43,5.64,0,0,1.54,39.76,0,0,0,0,0,4.06,0,0,5.09,0,0,20.59,0,0
 60-70,0,8.08,2.98,9.36,0.63,0.62,18.12,1.05,0.58,0,0,3.62,0,0,0,18.27,0,1.52,0.57,62.16,0,0,2.03,0,0,8.6,0,0,2.61,0,0,27.25,0,0
 72-82,0,3.46,0,3.9,0,0.81,33.45,1.43,2.99,0,1.33,10.14,0,0,0,44.21,0,1.52,0,98.67,0,0,1.35,0,0,8.72,0,0,2.06,0,2.43,42.98,0.54,0
 84-94,0,3.62,3.56,23.45,0,1.2,36.79,1.74,8.64,1.33,5.71,7.83,0,0,0,41.01,0,6.05,0,46.41,0,0.66,1.38,0,0.6,19.33,0.97,0,3.6,0,0,26.83,6.13,0
 96-106,0,2.92,14.85,2.65,0,1.54,58,3.39,13.94,8.02,1.4,13.86,1.3,0.7,0,66.99,0.69,9.06,1.43,71.5,0,0,1.61,0,2.17,35.99,0,0,3.08,1.67,10.19,58.95,12.48,0
108-118,0,15.34,1.47,38.78,1.84,0.73,66.15,3.6,11.05,6.02,2.4,23.3,0,0.5,0,92.87,0.75,13.12,2.84,174.26,0,0,2.04,0,6.41,42.58,2.3,0,1.23,2.39,3.15,43.17,21.73,19.36
120,0,5.03,5.56,34.38,3.47,0,58.57,9.65,1.17,0,3.7,28.29,0,0,0,52.51,1.29,31.9,3.84,113.36,1.18,0,1.98,0,0,26.61,0,0,0,0,4.57,26.52,9.04,7.4
