stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  3-4,15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.25,0,0,4.9,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0
 24-34,0,0,0,0,0,0,0,0,0,8.34,0,0.75,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,3.42,0,0
 48-58,0,0,9.77,2.29,0,0,0,0,0,20.35,0,0,0,0,0,0.98,0,0
 60-70,0,0,10.58,0,0,0,0,0,1.69,7.66,0,3.9,0,0,0,0.72,0,0
 72-82,0,0,17.97,0,0,0,1.73,0,1.84,18.88,0,3.3,0,0,0,1.26,0,0.82
 84-94,0,0,0.72,0.74,0,0,2.2,0,0.9,2.7,0,0,1.52,0,0,0,0,0
 96-106,0,0.64,4.87,0.76,2.59,0,3.87,0,0,13.6,0,9.49,0,0,0,0,2.19,0
108-118,0,0,12.08,0,1.17,0.44,4.95,1.1,0,12.93,0,4.46,0,0,0.41,0,0,0
120,0,0,0,0,0,0,6.54,0,0,0,0,1.15,0,0,0,0,0,0
