stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,137.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.03,190.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,0,0,7.59,0,0,0,27.04,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,221.31,7.02,0,0,69.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,47.93,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.53,9.28,0,0,77.91,0,0,0,0,31.96,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,1.89,42.66,8.19,0,1.76,0,0.87,0,4.99,3.76,0,2.48,0,0,0,0,0,0.85,16.46,0,11.81,116.46,9.45,0,0,4.73,0,7.44,1.31,35.46,0.99,0,26.72,42.88,0,0,2.64,0,0
 24-34,0,0,3.13,1,21.69,3.86,0,20.05,0,1.3,0.61,14.3,0,0,3.55,0.64,0,0.66,0.75,0,0,61.93,0,31.47,194.05,4.77,0.89,3.48,0,0,4.25,0,0,3.89,1.14,4.59,76.18,0,0,35.5,0,0
 36-46,0,0,0,0,8.04,0.89,0,15.84,0,4.2,2.58,24.27,0,0,4.36,2.6,0,0,0,0,0,64.41,0,7.89,108.27,7.9,1.77,2.72,0,0,7.55,0.65,0,0.58,0,0,30.01,0,0,12.43,0,0
 48-58,0,0,0,0,24.68,0.56,0,38.23,0,1.86,22.91,30.51,0,0,2.55,2.5,0,0,2.45,1.02,3.35,94.32,2.55,13.21,82.71,1.65,0.88,2.66,0,0,4.45,0,0,2.28,3.46,0,33.61,0,1.22,5.83,0.78,3.76
 60-70,0,0,0,0,8.19,1.37,0,43.78,1.51,2.35,4.36,42.08,2.44,0,11.76,6.93,0,6.82,2.56,0,10.6,106.87,15.11,10.36,76.56,0,2.83,2.59,0,1.19,12.2,0,0,0,0,0,10.32,0,2.09,5.94,2.12,6.86
 72-82,0,0,0.93,0,6.51,17.59,0,57.93,0,1.91,33.78,110.13,1.51,0,7.96,3.8,0.55,1.03,2.15,0.62,0,195.99,12.98,12.06,80.57,0.55,6.98,8.98,0,7.65,6.16,0,0,0,0,0,13.87,0,9.57,44.42,6.84,0
 84-94,0,0,0,0,16.47,4.65,0,55.84,0,2.8,4.84,94.31,6.37,0,1.79,17.44,2.53,1,8.73,0,0.96,169.87,6.19,7.51,61.81,1.89,0.75,2.38,0,11.55,11.79,0,0,1.46,0,0,8.95,0,5.77,36.59,10.78,0
 96-106,1.12,0,2.08,0,20.16,26.69,0,44.38,0,2,10.22,68.91,2.23,0,4.85,9.2,0.8,4.32,5.65,0,0,126.76,14.72,23.93,50.06,3.03,4.62,13.45,0,5.38,17.73,3.39,0,1.05,0,0,10.02,2.01,6.85,20.69,10.5,0
108-118,0,0,2.7,0,27.2,18.99,3.93,23.83,0.58,6.9,8.36,73.24,0.57,0,1.11,16.74,2.16,12.25,0.6,2,6.26,192.89,7.31,10.43,89.6,3.06,2.16,8.43,0,19.37,9,0,0,1.39,0,0,12.15,0,3.13,27.41,5.66,2.21
120,0,0,0,0,27.46,7.29,1.06,15.24,0,3.01,8.28,133.28,2.56,0,12.71,40.88,0,0,4.37,0,0,151.02,7.2,15.8,75.3,7.69,1.32,2.11,0,14.91,30.56,0,0,9.87,0,0,10.62,0,1.54,29.62,12.42,0
