stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,3.6,0,0,0,0,0,0,0,0,0,0,16.85,0,5.83,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.33,0,3.23,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0.91,3.28,0,0,0,0,0,2.35,0,0,0
 24-34,0,0,0,0,0,1.09,0,0,0,0,1.39,0,29.34,0,0,0,0,0,6.12,0,0,0
 36-46,0,0,1.07,0,0,3.81,0,0,0,0,4.44,0,37.96,0,0,0,0,0,8.14,2.3,0,0
 48-58,0,0,0,0,0,11.9,3.78,0,1.04,1.55,2.14,0,49.79,0,0,0,0,0,11.71,1.61,0,0.85
 60-70,0,0,0,3.13,0,12.58,3.12,0,0,0,0,0,18.4,0,0,0,0,0,2.35,1.82,0,0
 72-82,0,0,0,0,0,6.27,0,0.5,0,0,0.78,0,22.33,1.22,0,0,0,0,1.22,2.55,0.86,0
 84-94,0,0,0,0,0,4.21,2.27,1.45,0.81,0,2,1.23,0.63,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,8.85,0,1.22,0,0,2,0,14.75,0,0,1.46,0,0,0,0,0,0
108-118,0,0,1.35,0,0.46,4.95,1.84,0,0,0,2.27,0,8.21,0.55,0,4.3,0.42,0.46,0,0,1.13,0
120,0,0,1.85,0,0,14.28,0,0,0,0,6.86,0,8.67,0,0,0,0,0,0,0,0,0
