stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.35,130.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,68.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,26.65,0,19.82,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,10.58,8.98,0,0,0,0
 14-21,0,0,1.74,0,0,0,0,0,0,0,0.89,0,1.1,6.83,0,0,0,0,0,0
 24-34,0,0,1.47,0,0.63,0,0,0,0,0,1.86,0,0,8.62,0,0,0,2.35,1.63,0
 36-46,0,0,0,0,0.78,1.13,0,0,0,0,0,0,0.7,3.74,0,0,0,1.6,0,0
 48-58,0,0,0,0,1.65,0,0,1.36,0.46,0,1.6,0,0,5.83,0,0,3.98,0,0,0.48
 60-70,0,0,0,0,3.17,0,0,1.83,0,0,2.19,0.59,0,2,0,0,0,3.78,0,0
 72-82,0,0,0,0,4.26,0,0,0,0,0,4.34,0,0,1.03,0,0,0,0,0,0
 84-94,0,0,0.72,0,0,0,0,0,0,0,2.05,0,0,0.69,0,0,3.12,0.95,0,2.81
 96-106,0,0,0,0,0,0,2.33,0.81,0,0,1.49,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.67,0.58,0,4.12,0,0,0,0.59,0,0,0
120,0,0,0,1.35,24.26,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0
