stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.61,510.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.05,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,319.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.22,0,4.89,0,0,28.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.35,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,13.32,0,22.51,0,0,76.83,0,0,0,0,14.46,0,0,0,0,0,0,0,0,3.87,497.72,11.05,0,0,229.55,0,0,0,0,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,0,0,16.92,1.46,6.92,0,0,3.12,2.91,0,0.84,0,0,0.87,0,4.66,24.44,0,35.88,73.76,19.37,0,0.83,1.19,0,1.03,1.77,14.6,0,1.16,37.18,39.85,0,0,2.13,0,1.22
 24-34,0,0,0,0,12.03,0.9,22.41,0,1.99,4.1,0,0,1.69,0.71,0.63,3.5,0,20.59,72.87,1.66,50.97,68.78,21.1,1.32,0,0,0,0,0,0,0,0,10.64,25.83,0,0,12.77,0,13.09
 36-46,0,0,0,0,1.8,0,20.79,0,7.05,5.93,0,0,1.88,9.18,0,3.54,0.73,87.51,146.48,0,50.29,89.12,15.41,0,0,0,0,0,0,0,0,0,0,45.45,0,0,5.88,0,8.61
 48-58,0,0,0,0,0.38,0,7.36,0,4.89,5.05,2.33,0,1.93,4.29,0,0.83,0.65,64.33,80.31,0.75,13.98,80.28,10.47,0,0,0,0,0,0,0,0,0,0,32.39,0,0,0,0,9.58
 60-70,0,0,0,0,12.01,0,9.4,0,3.79,34.82,0,0,0,10.5,0,0,0.79,45.07,130.48,1.33,19.73,126.29,0.68,4.76,0,0,0,1.33,0,0,0,0,0,28.58,0,1,0.9,0,12.96
 72-82,0,0,0,0,2.37,0.84,17.09,0,6.73,63.58,0,0,1.41,13.26,0,0,0,9.42,90.76,1.12,15.68,59.22,1.09,0,0,0,0,4.38,0,0,0,0,0,12.62,0,3.37,1.2,6.17,9.91
 84-94,0,0,1.04,0,0,0.86,23.64,0.88,2.78,75.59,0,0,0,23.31,0,3.27,0,36.67,90.59,5.81,20.5,69.18,1.42,0,0,0,0,1.38,0,0,0.9,0,0,12.83,0,0,1.43,4.15,15.3
 96-106,0,0,1.41,0,0.7,5.5,21.85,0,14.49,159.14,0,0,1.24,19.75,0,2.1,0,33.47,120.98,9.1,13.27,62.87,0,0,2.68,0,0.97,0,0,0,0,0,0,7.8,0.61,1.48,1.79,3.08,3.34
108-118,0,0,0,0,0.44,3.12,21.2,0,1.69,167.94,0,0,0,23.23,0,12.99,1.18,37.92,138.37,0.5,16.58,93.82,3.43,0,0,0,1.37,2.03,0,0,0,0,0,18.67,0,0,2.97,0,8.18
120,0,0,0,0,0,0,8.77,0,9.69,114.24,0,0,0,40.29,0,4.86,1.6,20.01,150.15,0,9.65,167.65,2.06,0,0,0,0,0,0,0,0,0,0,11.9,0,0,1.07,1.8,6.6
