stage,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 10-12,8.97,0,3.73,0,0,0,0,0,0,0,0,0,0,6.11,0,0,0,0,0,0
 14-21,0,1.86,0,0,0,0,0,0,0,2.06,0,0.9,6.93,0,0,1.9,0,4.18,0,0
 24-34,0,0,1.89,1.15,2.09,1.01,0,0,0,0,0,4.27,13.89,0,0.81,0,0.63,2.5,0,3.2
 36-46,0,0,2.04,0,0,0,0,0,0,0.73,0,0,13.49,0,0.96,0,0,8.34,0,0
 48-58,0,0,0.97,0,0.66,0,0,0,0,0.48,0,0,6.91,0,0,0,0,2.19,0.41,0
 60-70,0,0,0,0,0,0,1.21,0,0,3.8,0,0,7.44,0,0,0,0,0,0,0
 72-82,0,1.69,0.92,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
 84-94,0,0,10.06,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,3.84,0,0
 96-106,0,0,0,0,0,0,0,0.58,7.05,0,5.65,0,5.38,0,0,0,0,0,0,0
108-118,0,0,3.75,0,0,0,0,0,0,1.92,1.29,0,4.35,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,4.48,0,0,6.7,0,0,0,0,0,0,0
