stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,295.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.09,0,0,0,0,0,0,0,0,0
  5-6,10.43,40.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,5.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.58,0.91,0,0,0,0.92,0,0,3.28,2.32,0,0,0,0,0,0,4.52,0,0,0,19.79,0,1.02,0,3.22,2.03,4.14,0.9,0,4.36,53.7,0,0,0,0
 24-34,0,0,0,42.22,0.96,0,9.22,0,16.61,0,0,0.74,0.61,1.45,0,1.12,0,0.64,0,1.31,3.33,0,0.61,422.46,0.69,9.62,0,0,5.59,0,0,0,4.33,156.34,0,4.33,0,0
 36-46,0,0,0,50.1,0,0,16.74,0,53.6,3.68,16.85,1.89,0.76,0,0,0,0,0,0,3.12,1.19,0,1.36,773.31,0.85,12.1,6.12,0,7.1,0,0,0,0,250.28,0,0,0,0
 48-58,0,0,0,31.37,0,0,75.19,0.58,22.66,0,64.3,0.38,0,0,0,0,4.84,1.56,1.54,7.78,8.95,0,0,1078.6,0,6.74,4.99,0,0,0,0.37,0,0,199.95,0,0,0,1.99
 60-70,0,0,1.79,53.85,0,0,293.46,0,29.39,0.8,177.99,3.62,0,0,0,0,12.26,0,1.98,7.97,0.85,0,0,1445.5,0,11.48,3.08,0,7.71,0,0.85,0,0,236.62,0,0,0,5.63
 72-82,0,0,0,25.36,0,0.76,445.09,3.68,22.89,0.56,155.55,2.63,0.89,0,0,2.21,1.19,0.61,5.3,9.8,3.33,0,2.55,1070.84,0,6.3,12.28,0,2.99,0,0,4.6,0,186.41,5.21,3.13,1.15,0
 84-94,0.62,0,1.14,33.95,0,2.96,458.6,0,60.39,0,141.07,6.67,0.6,0,0.64,0,10.24,0,5.23,11.97,7.03,0,8.58,819.09,0,4.48,7.24,0,2.34,0,1.58,0,0,147.61,5.38,0,1.33,0
 96-106,0,0,0,39.4,0,5.17,379.87,0.87,19.26,3.35,176.19,17.76,0,0,0,1.36,20.94,9.59,21.79,6.23,8.08,2.13,0.77,604.25,0,12.21,18.39,0,9.99,0,0.67,0,0,22.01,8.72,1.87,3.01,0
108-118,0,0,0.57,24.5,2.6,1.02,295.08,4.23,42,1.72,116.76,7.94,0,0,0.43,2.85,29.03,6.36,5.34,17.54,13.08,0,3.06,826.32,0.5,6.9,38.4,0,6.87,0,2.22,0.9,0,39.08,10.16,1.35,0,0
120,0,0,0,57.52,0,1.03,438.37,0,43.31,0,302.23,25.52,0,0,3.43,0,39.79,3.23,9.08,27.39,6.44,0,6.59,1562.35,0,11.81,42.39,0,3.23,0,1.58,2.33,0,104.56,11.84,15.47,0,0
