stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,192.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,295.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,8.43,0,0,0,0,0
  7-9,7.28,0,3.58,0,0,7.7,0,0,0,7.05,0,0,0,0,0,0,48.93,0,0,19.32,0,0,0,0,0,0
 10-12,0,0,10.08,0,0,16.28,0,0,0,0,0,0,0,0,0,0,54.22,0,0,7.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,15.02,0,0.96,0,0,1.25,3.82,0,0,0
 36-46,0,0,0,0,0,1.52,0,0,0,0,0,0,0,1.83,0,0,7.66,0,0,0,1.32,0,3.59,0,0,0
 48-58,0,0,0,0,0,44.78,0,0,3.43,0,0,0.4,0,0,4.5,0,19.66,0,0,0,0,0,1.54,0,0,0
 60-70,0,0,0,0,0,193.35,0,0,0.79,0,0,0,0,0,5.65,0,26.63,0,0,0,0,0,0.93,0,0,0
 72-82,0,0,0,0.69,1.29,138.16,0.78,0,4,0,0.93,0,0,7.22,0,0,24.74,1,0,0,0,0,0,0,1.92,3.41
 84-94,0,0,0,0,0,128.24,0,0,3.85,0,0,0,0,3.83,0,0,20.91,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,133.84,0,0,0,0,0,0,0,2.12,0,0,1.86,0,0,0,0,0,0,0,0,0
108-118,0,1.21,0,2.31,0,207.69,0,1.3,1.43,0,0,0,3.99,2.43,0,0,25.22,0,0,0,0,0,14.21,0,1.11,0
120,0,0,0,2.89,0,177.2,0,0,12.74,0,0,0,0,11.48,0,0,22.59,1.33,0,0,0,0,0,1.25,0,0
