stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.36,513.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.21,573.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0
  7-9,11.02,17.48,33.02,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.29,0,0,0,56.03,0,0,11.11,0,0,0,0,0,0,0,0
 10-12,0,0,30.15,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,100.87,0,0,0,7.71,0,0,8.7,14.51,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,165.71,0,0,0,0,0,0,0,0,0,0,95.05,0,24.71,0,14.83,151.02,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0
 24-34,0,0,0,0,0,0,436.1,0,0,0,0,0.73,0,0,0,0,0,30.04,0,34.82,0,0.71,314.68,0,0.83,1.2,0,0,1.31,0,0,0.61,1.28,9.08,0,0,0,0
 36-46,0,0,0,2.6,0,0,2428.86,0,0,0,1.24,0,0,0,1.94,0,13.07,5.8,0,74.97,0,0.61,195.66,0,0,1.24,0,0,1.87,0,0,0,0.6,9.4,0,0,0,0
 48-58,0,0,0,14.16,0.73,0,6404.09,0,0,1.51,39.68,0,0,0,0,0,2.34,0,0.6,131.88,0,1.42,446.76,0.4,1.3,1.1,0,0,0.38,0,0,0,0,59.78,0,0.52,0,7.35
 60-70,0,0,0,0.8,0,0,3853.7,0,3.64,0,84.63,0,0,0,0,0,0,0,0,37.93,2.56,0,162.78,8.75,1.43,0,0,2.16,3.5,0,0.67,1.47,0,6.98,0,0,0,3.83
 72-82,0,0,0,12.87,0,0.75,1721.89,2.25,4.83,0,214.78,0,0,0,1.3,1.73,0,0,1.89,13.24,3.49,1.65,78.68,0.75,6.26,1.99,0,2.01,0.86,0,0,0,0,5.48,0.75,1.12,1.47,0
 84-94,0,0,0,3.06,0,0,1289.19,0,1,0,158.45,0.82,0,0,0,0,0,0,0,17.5,2.51,11.45,167.8,0,16.25,0,0,0,0.97,0,0,0,0,25.41,0,1.11,5.98,0
 96-106,0,0,0,12.71,5.79,0,1055.63,0,0,2.51,93.34,3.64,0,1.91,0,0,0,1.05,0,31.15,17.65,0,92.61,0,61.18,0,0,1.01,1.07,0,0,0,0,11.46,1.01,4.26,3.69,0
108-118,0,0,0,6.81,0,0,1234.02,0,0,0,88.33,1.23,0,0,0,0,0,3.87,0,23.45,2.66,1.68,115.03,0,4.56,4.05,0,0,0,0,0,0,0,4.42,0,0,0,0
120,0,0,0,5.69,2.26,0,1081.44,0,0,0,153.63,0,0,0,2.49,0,0,0,0,4.51,2.76,0,123.64,0,10.99,0,0,0,3.15,0,0,0,0,1.98,0,1.14,0,0
