stage,erythrocytes,eye,immune,ionocyte,liver,mesenchyme,muscle,neural,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,5.01,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.99,0,0,0,0
 14-21,1.83,0,0,0,0,3.12,1.14,4.85,1.07,0,2.15,0
 24-34,2.06,0,0,1,0,0.72,0,4.24,0,1.68,5.97,0
 36-46,0,0.77,0,0,0,0,0,4.82,0,0,4.4,0
 48-58,0,3.05,0,0,0.37,0,0,0.62,0,0,12.08,0
 60-70,0,1.27,0,0,0,3.07,0,4.96,0,0,4.77,0
 72-82,0,0,1.33,0,0,0,0,5.17,0,0,5.35,0
 84-94,0.71,0,0,0,0,0,0,0,0,0,3.58,0
 96-106,0,0,0.83,0,0,1.13,0,1.3,0,0,3.32,0.89
108-118,0,0.63,1.12,0,0,6.28,0,2.25,0,0,6.87,0
120,0,0,10.78,0,0,0,0,0,0,0,1.96,0
