stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.61,4.97,0,0,0,0,0
 24-34,0,0,8.42,1.13,0,5,0,0.92,0,0,0,14.18,0,0,0,0,0,0,113.72,0,0,78.04,95.39,3758.88,1.06,0.61,0,4.44,0,6.89,100.92,0,0,0,0,1.12
 36-46,0,0,1.25,0,0,21.5,40.27,0,2.19,3.62,0,61.44,0,0,0,0,0,0,189.16,0,20.21,49.98,80.1,2196.74,1.29,0,0,6.37,0,3.76,64.53,0,17.02,10.34,3.88,4.18
 48-58,28.44,0,0,3.59,0,41.74,0,0,0,3.62,0,15.74,0,0,0,0,0,6.25,326.65,0,17.35,62.28,61.68,1126.35,0,0,0,0.39,0,0.49,39.36,0,131.62,3.53,0.9,2.55
 60-70,0,0,2.45,0.68,0,40.64,0,0,4.16,8.66,0,1.17,0,0,0,0,0,0,647.64,0,984.85,97.9,79.41,260.03,0,0,27.92,6.37,0,0,14,0,1108.5,5.16,1664.19,0
 72-82,0,0,10.67,7.22,1.16,340.92,3.28,0,3.68,18.97,0.63,3.36,0.49,0,0,1.37,3.62,1.45,467.45,2.29,934.75,28.04,173.02,2.81,1.04,5.15,136.91,9.54,0,0.54,22.84,3.98,1954.19,14.94,6712.66,6.03
 84-94,0,1.15,38.84,49.5,0,532.96,1.96,0.84,2.98,26.55,3.93,0,3.53,0.55,0,1.61,3.49,9.11,472.82,0,1076.9,92.48,144.18,36.42,0,4.66,190.32,9.96,0,0,21.12,3.4,2313.77,10.18,10790.6,0
 96-106,0,5.6,25.87,50.71,7.86,282.09,1.82,3.47,1.54,17.14,4.43,16.56,4.28,14,18.04,3.08,18.87,7.05,766.58,0.68,1077.12,87.35,188.87,15.61,2.81,1.21,330.31,43.76,0,0,1.69,0.83,3181.39,13.16,15767.33,15.19
108-118,0,1,15.52,40.75,1.93,518.16,0.45,12.57,18.54,42.93,2.38,8.27,7.92,8,0,3.04,7.46,12.54,810.7,0,710.27,40.79,298.43,88.18,3.01,12.26,520.29,25.57,4.39,1.99,8.03,0.43,3559.68,8.56,11933.51,3.17
120,0,0,37.5,37.56,0,143.27,5.69,2.93,3.19,99.25,17.12,0,4.72,0,0,1.88,0,0,626.73,0,833.6,19.36,291.43,4.01,0,8.54,521.47,2.48,0,2.35,9.18,0,3339.46,29.08,19057.71,30.43
