stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,72.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,10.48,0,0,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,64.6,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.05,0,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,205.86,105,0,5.98,0,0,0,0,0.82,26.28,0,0,0,0,0,0,152.92,0,0,75.17,159.7,0,0,1.75,15.94,0,11.76,1.54,6.89,2.3,2.62,49.91,81.82,0,0,92.55,0,0
 24-34,0,0,1.56,0.6,125.94,5.68,0,25.33,15.42,0,0,5.44,0,42.01,1.21,0,0.85,2.19,2.05,3.78,132.07,0.83,1.77,54.32,157.77,0,1.9,2.83,0,0,24.98,0,0,2.44,1.36,46.41,79.17,0,0,292.5,0,0
 36-46,0,0,0,0,20.56,2.24,0,26.58,31.34,0,0,0,0,24.47,1.06,0,0,0.77,9.67,1.47,101.04,0,3.72,32.95,86.86,0,0,0.78,0,0,20.57,0,0,0,29.32,3.56,17.87,0,0.85,102.05,0,0
 48-58,0,0,0,0,9.69,0,0,67.06,28.23,0,1.65,25.89,0,29.08,1.06,0,0,0.47,0,19.93,71.1,0.67,1.13,27.64,62.76,0,0.88,4.22,0,0,11.72,0,0,0.97,8.27,0,23.9,0,0.79,73.64,0,2.15
 60-70,0,0,1.23,0,17.46,0.6,0,192.07,19.74,0,0,87.76,0,15.88,0.79,0,0,0.61,0,2.9,55.87,0,0,11.99,68.69,0,0,4.25,0,1.08,7.35,0,0,0,4.05,0,59.91,0,8.04,74.1,4.38,0
 72-82,0,0,3.63,0,4.03,0.88,0,525.34,8.99,2.85,4.73,215.27,0.51,23.17,1.16,0,0.73,6.49,0,34.93,85.85,0,1.71,9.67,91.01,0,0,3.86,0,0,2.67,0,0,4.73,0,0,54.95,0,2.27,177.26,5.41,0
 84-94,0,0,0,0,2.95,0,0,315.52,12.89,0,0,160.77,2.5,16.99,10.76,0,0,5,0,42.67,109.68,0,1.67,6.81,70.41,0,0.77,10.56,0,1.59,9.17,0,0,4.93,2.08,0,41.51,0,8.38,164.68,16.75,0.74
 96-106,0,0,1.04,0,3.97,5.87,0.9,637.72,16.04,10.44,1.62,171.11,1.46,29.94,5.22,0,0,2.56,6.49,37.72,75.21,0,3.02,5.54,81.54,0.57,7.39,3.07,0,0,2.78,0,0,1.68,2.31,0,47.72,0,4.09,180.05,16.94,0
108-118,0,0,1.64,0,3.35,0,0,580.46,12.44,0.57,2.35,222.68,0,16.71,9.28,0.85,0,0,1.31,41.31,74.48,1.14,0,6.47,101.25,0,1.37,14.26,0,1.95,4.49,0,0,7.43,1.02,0,56.72,0.89,8.78,244.4,9.94,0.48
120,0,0,0,0,2.55,1.89,0,424.38,20.17,0,3.49,218.85,0,23.57,6.97,0,1.01,2.39,0,29.55,59.69,0,0,1.42,207.44,0,9.44,1.29,0,0,2.37,0,0,7.28,1.22,0,17.5,0,2.09,282.46,12.87,0
