stage,blastomeres,eye,glial,mesenchyme,neural,spinal_cord
  7-9,0,4.45,0,0,13.25,0
 10-12,4.31,0,0,0,0,0
 14-21,0,0,0,0,3.63,0
 24-34,0,0,0.83,0,1.79,2.12
 36-46,0,0,0,0.73,0.78,0
 48-58,0,0,1.11,0,0,0
