stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,0,4.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.78,1,0,0,0,0,0,0,1.08,0.81,0,0,0,0,1.47,7.97,0,12.01,13.53,0,0,0,0,39.35,0,6.79,4.42,0,0.85,0,0
 24-34,0,0,3.89,3.78,0,0.89,0,0,0,0,4.73,0,0,0,0,0,20.36,24.6,0,37.18,23.35,0,0,0,0,39.94,1.83,5.11,2.35,0,0,0,0
 36-46,0,0,0,10.82,0,7.98,0,0,0,0.86,0,0,0,0,0.61,0,53,30.87,0,3.91,50.63,0,0,0,0,16.98,0,0,4.14,0,0,0,4.9
 48-58,0,0,0,4.04,0,69.81,0,0,0.38,3.93,0.38,0,0,3.92,5.74,0.43,48.3,22.94,0,5.08,50.25,0,0,0,0,8.4,0,0,12.36,0,0,0,2.55
 60-70,0,0,0,0,0,376.54,0,2.33,0,4.88,0.63,0,0,0,0.79,0,56.65,21.38,0,2.09,73.18,0,0,0,0,4.27,0,0,13.62,0,0,0,7.45
 72-82,0,0,0,3.54,0.62,719.3,0,1.08,0,24.52,3.97,0,0,0,11.8,0,13.05,15.88,0.92,2.98,129.23,0,0,0,0,5.24,0,0,19.93,0.76,0.9,0,3.38
 84-94,0,0,0,4.84,0,481.21,0,0,0,11.19,0,0,0,0.62,1.84,0,36.06,16,0.92,4.23,70.64,4.88,0,0,1.42,6.75,0,0,12.91,0,0,2.3,1.21
 96-106,0,0,0,6.33,0,628.57,0,0,0,12.18,4.68,0,4.05,0,0,0,8.78,13.7,0,0,67.31,1.36,0,1.94,2.05,6.87,0,0,12.92,0,0,3,0
108-118,0,0,0,3.5,0,584.11,0,0.43,0,21.25,4.79,0,0,0,0,0,29.78,3.65,0,1.32,85.57,0.82,0,0,0,5.59,0,0,6.92,0,0,0,0
120,0,1.37,0,21.33,0,361.09,1.99,1.49,0,9.74,3.7,0,0,0,0,0,1.28,18.95,0,0,161.11,0,0,0,0,3.87,0,0,9.07,0,0,0,0
