stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,67.1,3241.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.1,0,0,0,0,0,0,0,0,0,0
  5-6,195.62,1733.16,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.24,6.07,0,0,9.89,0,202.97,0,0,0,0,0,0,0,0,0,0
  7-9,7.61,13.14,0,0,0,0,0,4.39,0,0,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,148.59,12.13,0,0,33.7,0,87.52,22.33,0,0,0,0,0,0,0,0,0
 10-12,0,5.21,0,30.61,0,5.53,0,7.64,0,0,0,0,0,68.69,0,0,0,0,0,0,0,0,0,0,0,345.12,31.01,0,0,83,0,52.27,0,0,21.2,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,10.38,2.39,0,9.64,0,0,0,1.07,0,5.08,0.85,0,3.04,0,0,0,0,4.66,0.95,0,0.94,88.58,0,0.98,3.11,0.98,0,61.39,0.91,4.02,3.33,0,0.86,28.56,0,2.82,0,0
 24-34,0,0,2.51,0,21.11,0,0,29.85,0,2.56,0,12.58,0,0,0.8,7.4,13.96,0,2.58,0.68,0,19.68,4.8,0,8.17,614.57,0,10.03,6.04,0,0,323.7,0,0,0.73,0,0,91.29,0,20.37,0,3.2
 36-46,0,0,0,0,24.33,0,0,81.58,0,2.43,0,26.73,0,4.96,0,1.43,2.22,0,2.8,0,0,30.67,2.09,0,5.02,1097.79,0.98,7.79,30.27,0,0,298.39,0,0,7.6,0,0,152.24,0,3.63,0,0
 48-58,0,0,0,0,16.08,3.17,0,244.6,0,1.86,4.82,55.11,0,1.32,0,8.62,1.21,5.81,3.27,0,1.1,22.08,4.94,1.1,3.75,1090.08,2.89,3.65,2.91,0,0.53,208.75,0,0,6.23,0,0,132.01,0,15.1,0,0.83
 60-70,0,0,0.7,0,48.98,0,0,422.36,0,2.82,9.59,77.05,4.21,0.89,0.69,25.2,15.16,1.14,2.18,0,0,27.64,8.62,7.43,2.28,1401.7,0,10.83,4.47,0,0,197.46,0,0,0,0,0,102.79,0,11.91,1.79,0
 72-82,0,0,2.01,0,23.54,1.12,0,410.74,0,1.55,0,51.12,9.4,0.49,2.89,3.18,5.75,0,11.12,3.49,3.74,62.49,7.68,2.05,0.56,1365.11,1.06,11.79,16.91,0,1.4,122.46,0,0,1.73,0,0,43.92,5.43,9.59,2.69,3.34
 84-94,0,0,0.94,2.02,42.28,5.95,0,349.12,0,5.64,0,47.41,11.44,0,2.23,8.86,3.68,0.62,8.01,0.6,1.76,47.74,32.05,9.48,3.07,661.5,0,7.59,6.18,0,0,296.23,0,0,1.91,0,0,32.2,2.37,7.73,3.55,0
 96-106,0,0,2.23,0,56.99,4.36,0,217.15,0,4.22,1.03,50.03,3.2,0,6.76,3.56,16.89,0,4.59,1.3,0.68,27.84,8.07,2.45,2.73,548.65,0,9.32,5.49,0,9.58,157.53,0,0,1.05,3.94,0,14.64,2.71,3.81,2.58,4.53
108-118,0,0,0.85,0,47.18,6.26,0,244.96,4.79,8.83,3.89,29.14,14,0,1.53,9.49,7.99,2.16,0,3.08,0,40.02,16.06,7.19,1.26,562.11,0.71,10.61,7.72,0,3.85,163.53,0,0,4.69,0,0,8.71,5.42,15.86,0,4.62
120,2.37,0,0,0,51.12,21.67,2.35,281.89,0,11.63,6.4,94.22,6.14,0,0,21.07,15.53,0,4.14,1.12,0,44.47,6.29,12.44,20.71,1313.6,0,0,6.75,0,5.9,155.54,0,0,1.83,0,0,27.43,4.77,10.78,0,3.63
