stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.81,88.58,13.67,0,3.61,0,0,0,0,0,1.92,0,0,0,0,0,1.33,4.45,0,0,4.4,69.62,1.23,6.87,3.34,0,2.94,2.3,0.85,1.05,24.67,16.08,0,0,0,0,0
 24-34,0,0,4.85,0,0,19.88,0,0,0,7.31,0,2.14,0,1.18,1.06,10.04,0,0,6.25,0,0,5.69,529.57,0.68,93.42,55.55,0,2.24,0,0,0.99,0.68,76.21,0,0,10.05,0,0
 36-46,0,0,17.34,0.68,0,23.34,0,2.04,0,5.27,0,3.59,0,0,0,7.96,0,0,7.37,0,1.69,1.69,1252.03,0,193.45,40.46,0,0.83,0,0.94,0,0,94.51,0,1.37,8.99,0,0
 48-58,0,0,17.12,0,0,78.36,0.86,0.37,0,7.13,0,0.82,0,0.98,11.03,12.49,0.86,0,17.05,0,4.61,3.02,1338.48,0,133.17,49.96,0,4.23,0,4.98,0.68,0,80.69,0,0,0.39,0,5.41
 60-70,0,0,25.98,0,0,241.08,0,1.34,1.82,8.35,3.33,0,0,0,0,28.62,1.35,0,71.88,0,4.28,2.04,1928.03,0,113.08,96.11,1.08,7.32,0,0,1.41,0,78.48,5.06,0,4.33,0,3.78
 72-82,4.92,0,27.79,0.75,0,699.71,0.5,1.32,0,29.95,20.19,0,0.53,0,0,55.99,3.3,0,65.49,0,5.89,1.36,1764.19,0,188.9,147.4,0,2.09,0,0,0,0,61.44,37.35,2.09,5.54,0,0
 84-94,9.02,0,40.15,12.9,0,385.63,0,5.42,9.55,24.19,39.13,0,1.43,0.8,0,67.04,0,0,54.8,0.62,11.34,2.94,1311.47,0.6,157.95,202.46,0,7.91,0,0,0.9,0,21.04,139.98,1.04,14.39,2.49,0
 96-106,2.72,0,57.4,3.97,0.97,416.42,0.75,4.64,6.2,26.68,25.46,0,1.53,0,0,100.48,26.8,0,73.96,0.69,10.6,15.24,1148.55,0,244.37,195.23,1.51,16.86,0,0,0,0,38.1,231.9,2.77,8.25,8.31,0
108-118,2.11,0,55.15,0,0,571.19,0,6.85,1.29,28.28,28.16,0,0.49,1.18,2.27,57.25,10.64,1.43,59.47,0.94,1.88,11.51,1661.61,0.51,171.09,193.29,0,18.94,0,0.73,0,0,21.49,277.5,2.55,9.49,8.83,0
120,2.14,1.28,98.62,0,0,507.63,1.91,2.96,0,30.77,70.76,0,0,0,0,106.04,5.65,0,119.59,4.3,13.18,27.41,2774.45,0,308,269.28,0,1.23,0,4.78,0,0,26.97,162.68,23.29,17.86,3.17,15.67
