stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,11.34,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0
 10-12,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,9.92,1.14,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.59,0,0,0,0,0,0,0,33.08,1.9,0,1.71,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,6.8,0,0,1.58,0,0,0,0.6,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,11.34,0.53,0,1.51,0,0,0,0.37,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,15.89,1.49,0,3.32,0,0,0,0,0,0,1.22,0,0
 72-82,0,0,1.05,0,0.53,0,0,3.83,3.65,0,12.39,1.76,0,3.61,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.34,0,31.31,0,0,0.91,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.28,31.19,0,0,10.72,2.57,0.59,205.33,1.03,4.23,36.36,0,0,0,0.97,0,0,0,2.63,0
108-118,0,0,0,2.87,21.21,0.54,5.54,1.23,6.7,1.39,338.02,8.49,0,24.56,0.91,0,1.28,0.44,0.42,0.58,0,0,0
120,0,0,3.4,0,18.18,0,0,9.45,2.57,0,143.51,1.44,0,19.73,0,0,0,0,0,0,0,1.35,4.11
