stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.73,158.9,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,55.35,6.07,0,0,7.98,0,0,0,0,0,0,0,0,0,0
  7-9,54.83,15.96,46.48,0,0,0,0,0,0,0,0,32.85,0,0,0,0,0,0,0,0,0,166.35,51.29,0,0,429.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.8,29.69,0,0,3.44,0,0,0,0,0,36.72,0,0,0,0,0,0,0,0,0,86.81,102.27,0,0,842,0,14.01,32.1,0,12.1,0,0,0,0,0
 14-21,0,0,3.6,43.91,74.38,1.76,0,0,0,0.99,5.84,10.59,0.89,0,0.9,0,4.6,37.32,0,0,53.07,108.7,74.9,2.02,0,51.36,8.59,1268.74,16.23,85.3,488.4,31.09,0,0.95,0,0
 24-34,0,0,0,2.81,0,2.55,0,0.82,2.16,0,0,2.68,0,0,0,0,0,6.29,0,0,5.53,46.31,2.17,0.77,0.85,0,11.49,0,1.38,0,11.91,19,0,6.6,0,1.2
 36-46,0,0,0,0,1.1,17.53,4.85,0,0,4.77,0,0,0,0,0,0.65,0,5.58,0,0,0,35.69,0,4.18,0,0,12.51,0,0,1.69,0,7.56,0,3.31,0,1.67
 48-58,0,0,0,0,0,5.81,1.43,0,0,0.72,0,0,0,7.38,0,0.85,5.91,5.26,0,0,0,38.24,0,1.77,0,0,7.99,0,0,1.31,0,4.17,0,4.5,0,0
 60-70,0,0,0,0,0,17.6,0.76,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.71,0,3.09,0.87,0,18.02,0,0,0,0,5.58,0,2.83,0,1.95
 72-82,0,0,0,0.67,0,6.21,0,0,0,1.83,0,0,0,0,0,0,0,9.15,0,2.73,0,22.77,0,1.28,0,0,2.04,0,0,0,0,0,0,1.51,0.53,0
 84-94,0,0,0,0.68,0,2.93,0,0,0,0,1.31,0,0,0,0,0,0,3.74,0,0,0,22.89,0,3.11,2.99,0,3.13,0,0,0,0,0,1.08,0.59,0,0
 96-106,0,0,0,0,0,2.17,0.64,0,0,0.61,0,0,0,0,0,0,0,10.7,0,0,0,11.5,0,11.75,0,0,3.16,0,0,0,0,0,0,0,0,0
108-118,0,0,1.13,0,0,16.05,2,1.71,0,0.9,0,0,0,0,0,0.54,0,4.94,0.53,0,0,25.22,0,2.24,0.6,0,1.04,0,0,0,0,0.93,0,0,0,0
120,0,0,0,3.1,1.16,34.35,0,0,0,15.64,0,0,0,0,0,0,0,5.52,0,0,0,66.5,0,14.76,2.59,0,1.75,0,0,0,0,0,0,0,0,0
