stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,43.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,76.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.33,13.85,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,0,0,175.81,0,0,0,22.02,0,11.57,0,0,0,0,0
 10-12,0,7.78,5.98,0,0,46.17,0,0,0,0,0,0,0,0,0,0,0,0,371.9,0,0,0,36.3,0,14.59,0,0,0,0,0
 14-21,0,0,3.43,16.33,0.81,0,0,0,0,0,0.86,0,0,0,2.05,0,0,0,7.13,0,0,87.49,0,0,13.87,1.84,1.73,0,0,0
 24-34,0,0,0.76,0,0,0.77,0,0,0,2.79,0,0,0.78,0,1.63,0,0.89,0,3.51,0.8,3.32,12.25,0,0.99,6.87,14.44,1.31,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.99,0,0,3.34,1.44,0,0,0,0.8,9.79,0,2.65,6.55,0,0,13.61,3.66,16.64,0,0,0.63
 48-58,0,0,0,0,0,19.2,0.74,3.81,1.47,0,0,0.87,1.72,0,2.53,0,0,0,14.8,0,1.5,9.26,0,4.36,1.14,2.22,28.79,0,0,0
 60-70,0,0,0,2.17,0,2.74,5.76,6.5,25.33,1.75,0,37.8,2.49,0,11.26,0,0,0,28.47,0,4.72,11.58,0,0,8.21,0,3.35,0,0,0.57
 72-82,0,0,0,3.27,3.97,8.4,11.88,15.36,58.2,0,1.14,26.35,12.22,0,8.09,0,0,0.85,85.25,0,6.13,25.4,0,0,14.76,0,1.09,9.28,0,2.73
 84-94,0,0,0,4.1,0,26.52,13.27,6.52,82.95,0,1.33,34.36,12.78,0,4.87,0,0,0,41.35,0,17.19,34.57,0,0,17.09,0.57,10.78,45.85,0,0
 96-106,0,0,0,6.5,1.27,6.8,17.91,0.9,88.1,0,1.57,7.92,18.79,9.4,6.12,0,0.92,1.06,70.66,0.59,20.24,40.46,0,0,28.88,0,0,63.98,0.63,0
108-118,0,0,0,24.77,0,5.37,43.84,7.61,146.13,0,8.45,4.89,28.26,0,22.58,0.47,3.63,0.68,114.48,0,12.01,33.59,0,0,17.37,0,2.24,75.02,0.71,4.87
120,0,0,0,18.91,0,3.33,13.28,5.41,29.91,0,1.7,0,21.58,5,24.78,0,0,0,148.33,0,38.38,12.65,0,0,16.97,0,15.14,48.71,0,0
