stage,blastomeres,neural,notochord,paraxial_mesoderm,pronephros
  3-4,84.98,0,0,0,0
  5-6,31.64,0,0,0,0
  7-9,0,6.97,7.74,4.22,0
 10-12,0,30.11,0,71.89,4.86
