stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,3.4,0,0,0,0,1.07,0,6.24,6.68,0.86,0,0,0,0,0.97,0,5.03,19.52,0,0,0,0
 24-34,0,0,0,1.37,0,0,0,13.38,0.59,0,0,0,1.42,0,2.68,72.72,0,0,0,0,0,0,0,1.45,54.13,0,0.77,0,1.3
 36-46,0,0,0,3.8,0,0,2.42,15.69,0,0,0,0,6.53,0,1.9,89.29,0,0,0,0,0,0,0,1.09,85.06,0,0.75,0,0
 48-58,0,0,0,7.69,0.39,0.69,0.41,20.48,0,0,0,0,2.02,0.74,1.45,86.07,0,0,0,0,0.46,0,0,0,64.31,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.7,0,0,0,0,3.44,0,0,87.99,0,5.85,0,0,0,0,0,0,73.44,0,3.16,0,0
 72-82,0,0.53,0.65,4.8,0,0,0,7.52,0.77,0,0,0,10.66,0,0.54,34.33,0,0,0,0,0.72,0,0,0,36.52,0.9,8.17,0,2.76
 84-94,0,0,0,3.19,0,1.01,0,10.17,0,0,0.82,0.83,3.94,0,0,12.47,0,0,0,0,0,0,0,0,14.17,0,0,0,0
 96-106,0,0,0,0.75,0,0,0,0,0,1.23,0,0,2.98,0,0,9.04,0,0,0,3.14,2.77,0,0,0,5.5,0,0,4.09,0
108-118,0,0,0.48,0,0,0,1.42,2.35,0.45,0,0,2.29,2.15,0,0.92,30.98,0,0,0,0,0,0,0.45,0,13.38,0,0,0.9,0
120,0,0,0,0,0,0,0,8.15,0,0,0,0,6.56,12.5,3.98,10.44,0,0,0,0,0,0,0,0,0,0,0,2.66,0
