stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.95,99.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.97,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0
  7-9,4.49,14,16.06,0,0,0,0,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,83.28,36.02,0,165.26,0,0,0,13.28,0,0,0,0,0,0,0
 10-12,0,25.46,70,0,8.32,0,28.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.55,207.03,0,625.96,0,0,0,102.28,0,17.94,0,0,0,0,0
 14-21,0,0,0.91,435.19,17.83,0,17.77,0,44.26,0,0.81,4.8,4.05,26.68,0,8.61,0,0,1.02,68.92,0.9,0,189.89,93.35,126.46,0,15.37,0,0.85,189.35,4.87,3.55,504.03,82.8,0,0,0,0
 24-34,0,0,1.54,380.42,3.87,0,12.6,0,353.76,8.13,2.86,0,0,32.91,0,0.65,0,3.14,0,242.63,0,2.08,241.06,105.75,58.86,0,0,0,3.93,1.22,4.04,0,39.75,69.94,0,0,20.62,0
 36-46,0,0,0,138.96,1.69,0,10.73,4.42,349.97,39.82,6.22,0,0,6.86,0,1.57,0,2.41,0,519.37,0,15.41,152.12,53.88,52.88,0,0,0,2.53,0,1.86,0,0,22.19,0,0,0.56,0
 48-58,0,1.29,0,202.75,0,0,29.01,0,267.8,41.9,1.33,0,0,3.29,0,0,0,1.35,0,419.31,2.92,63.7,98.97,92.16,3.27,4.97,0,0,1.1,0,0.57,0,0,12.65,0,5.94,0,1.08
 60-70,0,0,0,156.41,0,0,16.42,0,194.89,43.12,1.62,0,0,4.58,0,4.11,0,1.41,0,446.25,0,119.44,36.79,94.66,1.95,8.62,0,0,1.92,0,0,0,0,2.07,0,55.04,0,28.6
 72-82,0,0,0,61.13,0.66,0,27.46,0,136.68,68.14,11.06,0,0,0.86,0,1.24,0,9.91,1.36,465.82,1.14,83.25,34.28,37.61,0,13.39,0,6.44,1.91,0,0,0,0,6.25,0,50.79,2.52,108.98
 84-94,0,0,0,141.72,3.99,0,67.17,0,162.26,52.15,5.6,0,0,1.22,0,7.43,0,7.3,0,274.04,0,51.9,28.76,37.17,0,3.25,0,7.8,1.25,0,0,0,0,17.76,0.83,28.33,0,121.64
 96-106,0,0,0,79.87,11.41,0,21.01,0,164.56,78.49,8.68,1.02,0,3.83,0.56,9.24,0,4.12,15.59,283.12,2.42,24.5,16.49,44.3,0,40.96,0,7.79,8.23,0,1.33,0,0,2.47,0,56.62,3.13,105.63
108-118,0,0,0,87.07,0,9.41,23.95,0.42,215.71,52.69,11.38,1.91,0,0,0,12.07,2.25,3.41,1.13,352.69,0,16.32,26.94,60.59,0,12.57,0,11.39,3.59,0,2.11,0,0,0.42,0,5.48,0,72.4
120,0,0,0,187.19,0,1.61,19.34,0,176.59,62.65,0,1.14,0,0,0,0,0,2.07,5.51,573.39,10.52,24.3,37.48,74.66,2.8,0,0,2.03,6.61,0,0,0,0,0,0,21.4,0,146.4
