stage,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,13.84,0,0
 10-12,0,0,0,0,0,0,9.86,0,0
 14-21,0.96,0,0,0,1.1,0,0.95,0,0
 24-34,0,0,0,0,0,0,7.41,1.08,0
 36-46,0,2.13,0,0,0,0,13.1,0,0
 48-58,0,0,0,0,0,0.76,6.33,0,1.22
 60-70,0,3.43,0,1.98,1.26,0,2.52,0,0
 72-82,0,6.5,0,0,0.66,0,7.1,0,0
 84-94,0,6.76,0,0.69,0,0,0,0,0
108-118,0,1.45,0.41,0,0,0,1.42,0,0
120,0,0,0,0,1.83,0,16.07,0,0
