stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0
 10-12,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0,2.08,0,0,0,0
 24-34,1.28,0,1.05,0,0,0,0,0,0,0,0,1.01,1.52,0.99,77.34,0.76,0.74,0.65,19.65,0,0,0,0
 36-46,0,0,12.87,0,0,14.52,0,0,0,0,0,0,0,0,108.6,0.57,0,0,25.6,0,0,0,0
 48-58,0,0,15.79,2.85,0,27.69,0,0,0,0,0,0.43,0,2.12,316.34,1.59,0,0,35.4,0,0,0,0
 60-70,0,0,47.14,0,0,24.02,0,0,0,0,0,9.13,0,0,477.29,9.13,0,0,53.28,0,0,0,0
 72-82,6.5,0.55,157.15,0,0,35.28,1.48,0.86,0,0,0,11.29,0,2.69,611.58,0.82,2,0,35.78,0,0,2.31,0
 84-94,0.8,0,94.81,1.1,0,17.57,0,9.41,0,0,0,7.04,0,0.76,435.06,8.71,0,3.12,37.05,0,0,0,0
 96-106,0.73,3.59,134.12,0,0.64,34.06,0,0,0,0,0.65,11.19,0,4.79,468.11,0,1.5,1.37,11.43,1.13,0,0,0.61
108-118,2.66,1.32,150.27,0,0,21.67,0,0,0.88,0.42,0,8.74,0,1.35,486.51,4.26,0,0,12.96,0.68,0,0,0.63
120,4.18,0,121.45,0,0,45.22,0,2.27,0,0,0,3.86,0,1.82,551.31,1.62,0,1.16,1.19,0,3.24,0,0
