stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.54,12.75,0.83,0,0,0,0,0,0,0,13.07,0,0,0,0,12.23,0,2.27,0,0,0,12.35,0,0,0,0,0,0,5.69,94.44,0.93,4.96,0,0,0,0,0
 24-34,0,2.08,33.55,0,0,0,1.08,0,0,0,0,42.38,2.35,0,0,0,18.97,0,2.82,0,0,2.37,5.73,0,0.76,0,0,0,0.84,0,238.05,0,1.69,0,0,0,0,0
 36-46,0,0,5.55,0,0,0,0,0,0,0,0,114.3,0,0,0,0,21.63,0,4.03,0,0,0,9.91,0,0,0,0,0,0.83,0,205.22,0,2.59,0,0,0,0,0
 48-58,0,2.47,0,0,0,0,3.96,0,0,0,0,167.69,0,0,0,0,52.36,0,3.65,0,0,0,36.2,0,0,0,0,0,0.49,0,126.65,0,7.87,0,0,0,0,0
 60-70,0,21.09,0,0,0,0,11.56,0,0.63,2.73,0,285.48,2.87,0,2.33,0,56.23,0,12.69,0,0,0.82,34.98,0,0,0,0,0,9.27,0,99.23,0,4.66,0,0,0,0,0
 72-82,0,50.63,0,0.54,0.55,0,44.88,0,0,1.23,6.58,522.29,0.87,0,0,0.69,95.15,0,13.81,0,0,0,120.08,0,0,0,0,0,8.14,0,131.1,0,10.12,0,1.34,0.72,0.99,12.72
 84-94,0,92.38,7.12,5.55,7.39,0,63.37,0,0,0,1.51,1309.41,0,1.69,0,0,192.89,0,25.17,0,6.09,0.73,74,0.99,0,0,0,1.59,11.17,0,336.64,0,1.23,0,0,0.62,0,0
 96-106,0,103.51,16.47,4.21,26.51,5.91,68.3,2.37,3.03,0,12.7,1418.46,0,0,0,0,198.12,6.45,32.75,0,0,2.46,225.23,0,0,1.32,0,3.48,16.69,0,242.93,0,5.38,1.88,0,0.92,0,6.88
108-118,0,103.11,25.44,6.89,0.77,1.04,27.6,2.61,2.15,0,5.94,1339.66,0,2.95,0.42,0,392.55,0,31.93,0,1.79,1.44,220.04,0,0,2.47,0,0,1.47,0,236.89,0,12.87,0,1.42,4.1,0,11.83
120,0,91.31,10.83,6.16,9.35,0,25.5,0,3.6,0,3.21,991.36,0,0,2.63,1.84,275.96,0,15.79,9.06,10.86,0,137.7,0,0,0,0,0,0,0,123.22,0,23.67,0,0,2.73,0,0
