stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.97,433.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,15.82,276.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.12,0,0,0,22.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.58,0,0,0,42.62,3.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.75,0,0,0,43.23,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,247.98,6.95,0,0,76.22,0,0,5.97,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,0,9.33,1.02,0,4.76,0,0,0,1.01,1.01,0,0,0,1.76,0,0,0,0,3.75,0,0,1.07,47.78,0,0.89,1.02,0.82,5.69,7.08,5.89,0,8.8,26.96,0,0,3.27,0,0
 24-34,0,0,0,0,6.6,1.42,0,22.99,0,0,0,4.19,0,0,4.11,0,2.48,0.85,0.81,0,0,17.55,4.95,0,6.62,241.27,2.3,3.1,2.64,0,19.05,0,4.79,0,2.08,59.27,0,0,6.7,0,1.58
 36-46,0,0,0,0,10.65,0,0,58.46,0,1.14,0,11.44,0,0,1.05,0,1.33,1.49,0.57,0,2.9,35.96,2.56,0,7.66,355.25,1.17,2.38,1.88,0,29.81,0,1.16,0,0,100.66,0,0,4.02,0,0
 48-58,0,0,0,0,16.97,0.4,0,99.43,0.58,0.9,0.78,19.02,1.57,0,3.56,0,0.39,0.38,0,0,6.99,21.53,0,0,2.04,346.19,0,7.04,3.55,0,15.63,0,0,0.46,0,81.02,0,0,7.46,0.5,5.04
 60-70,0,0,0,0,14.86,2.04,0,197.64,1.89,0,2.14,27.48,0,0,0,0,1.79,0,0,0,7.94,59.83,0,2,0.6,397.79,13.15,2.54,1.5,0,39.27,0,1.68,0.75,0,79.06,0,0.99,4.13,0,2.81
 72-82,0,0,0.57,0,2.3,3.67,0,263.36,1.52,2.88,10.4,28.45,1.79,0,0,4.75,0,0,0.72,0,2.45,59.07,1.65,0,0,286.22,0,6.1,0.96,0,31.87,0,0,0,0,75.71,0.53,0.75,10.13,1.39,3.01
 84-94,0,0,0.81,0,8.83,13.4,0,157.63,0.98,3.6,3.24,21.53,0,0.71,0,1.48,2.32,3.63,1.57,0,0.83,48,0,4.7,2.69,267.2,0,0,6.33,0,46.87,0,0,0.63,0,36.98,2.45,2.46,28.14,2.07,0
 96-106,2.68,0,0,0,7.61,21.61,1.07,199.43,0.64,0,3.57,24.64,2.9,0,0.78,2.69,2.67,0,5.82,0,0.68,48.29,0,0,5.21,235.87,1.94,9.76,8.71,0,38.61,0,0.59,0.64,0,15.02,4.1,2.06,13.53,1.13,0
108-118,0,0,0.57,0,22.95,6.28,8.44,170.06,0,4.47,0,17.38,1.56,0,0,4.8,2.61,8.64,0.89,1.26,1.03,46.43,1.47,0.94,4.46,244.75,3.37,4.46,6.08,0,15.13,0,0,0,0,12.49,1.7,2.71,15.89,0.49,2.65
120,0,0,0,0,6.87,14.32,0,157.93,0,19.19,0,51.75,11.35,0,0,8.97,10.63,0,1.69,0,0,64.56,3.25,0,4.39,472.43,2.28,1.15,3.72,0,40.36,0,0,0,0,33.64,0,0,27.42,6.74,0
