stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.14,359.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.33,0,0,0,0,0,0,0,0,0
  5-6,24.61,491.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,16.34,0,0,0,0,0,0,0,0,0
  7-9,13.98,19.94,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,249.67,9.67,0,109,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.86,0,0,54.63,0,0,4.89,0,0,0,0,0,0,0
 14-21,0,0,0,1.74,0,0,0,0,0,0,0,0,0,3.82,0,2.14,1.84,0,0,1.12,0,0.81,0.85,2.97,3.07,0,0,3.45,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.67,0,0,0,6.26,0,6.91,9.08,0,0.62,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,6.4,0,0,0,0,0,0,0,0,0,6.6,0,1.46,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.93,0,0,1.08,0,0,0,0.53,3.39,0.55,6.6,11,0,0,0,0,0,0,0,0,1.04,0,0,0,0
 60-70,0,0,0,0,1.23,0,0,0,1.04,0,0,0,0,1.72,0.63,0,7.11,0,0,0,0,0,0,0,0,0,1.33,0,0,0
 72-82,0,0,0,0,8.36,0,0,0,0,0,0.59,0.76,0,5.03,0,0.84,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.01,0,0,0,2.81,5.05,0,0,5.47,0,0,0,0,0,2.39,0,0,0,0,0,1.8,0
 96-106,0,0,0,0,0.98,0,0,0,0,0,0,0,0,9.79,1.7,1.26,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.3,0.63,0.46,0,0,0,1.19,0,0.72,1.57,0,0.43,3.72,0,0,0,0,0,0,0,0,0,0,0,0.63,1.41
120,0,0,0,0,4.71,0,0,3.09,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
