stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.06,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,0.92,0,0,0.87,0,1.09,0,1.34,0,0,0,0,1.02,0,0,0,0,0,1.86,0,0,0,2.26,3.79,1.96,7.3,0,0,0,0
 24-34,0,0,0,0,6.28,0,0,0,4.26,0,0,2.67,4.18,0,0,0,0,0,0,0,0,0,0,10.93,2.43,0,0,14.9,0,0,5.67,0,0,0,0
 36-46,0,0,0,0,6.13,0,0,0.63,3.97,0,0,0,3.44,0,0,0,0,0,0,1.47,0,0,0,6.33,0,0,0,8.59,0,0,2.27,0,0,0,0
 48-58,0,0,0,0,2.92,0,0,0.89,0.52,0,0.88,0,1.9,0,0,0,0,0,0,0.47,0,0.47,0.43,7.53,1.18,0,0,5.7,0,0,1.22,0,0,0,0
 60-70,0,0,0,0,1.54,0,0,3.54,0.59,0,8.86,1.66,0,0,0,0,0,0,0,0.76,0,0.64,0,7.93,0,0,0.85,7.55,0,0,0,0,0,0,0
 72-82,0,0,2.23,0,3.53,0,0,2.49,1.86,0,2.27,51.51,0.87,0,0,2.49,0,8.51,0,8.22,0,6.73,0,38.31,0,0,0,9.93,4.35,0,2.12,0,6.01,0,0.61
 84-94,0,0,0.81,0,4.02,0,1.48,3.13,0,0,8.51,104.99,0,0.59,0.76,0,0,11.65,4.37,8.3,0,3.17,0.71,14.79,0,7.36,3.33,26.2,0,0,1.33,0,0,0,2
 96-106,0,0,4.5,2.48,13.93,8.21,0,47.18,1.13,9.53,6.23,402.47,0.92,0,0,1.79,0.68,14,0,12.79,0.76,3.38,6.59,58.07,4.51,0,5.8,26.89,0,0,0,1.64,0,3.6,5.23
108-118,0,0,2.19,0.42,33.94,7.35,1.17,10.64,2.54,1.1,12.15,723.75,1.45,0.55,0,0,0,29.44,5.87,19.63,0,6.04,0.73,66.1,2.35,0,3.62,38.66,0,0,0,0,0,1.68,1.7
120,0,0,1.22,7.73,17.99,0,0,0,1.17,0,32.81,536.63,1.15,0,0,0,0,10.55,0,8.17,0,24.8,0,37.65,8.55,0,4.07,33.16,0,0,4.36,0,0,0,0
