stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
 14-21,0,1.36,2.14,0,0,0,0,0,0,0,0,1.05,0,0.84,9.3,0,0,0,0,0,1.97,0,0
 24-34,0.66,0,0.64,0,0,0,0,0,0,0,0,1.77,0,0.66,47.21,1.36,0,1.85,0,0.88,5.52,0,2.84
 36-46,0,1.13,6.43,0,1.5,0,0,0,0,0,0,1.68,0,1.45,68.59,0,0,0,0.82,0,21.69,0,0
 48-58,4.62,0,17.75,0,6.92,1.42,0,0,0,0,0,9.49,0,0,64.49,0,0,2.72,0,0,15.53,0,0
 60-70,4.35,0,35.3,0,14.5,0,0,0,0,0,0,0,0,0,52.77,0,2.12,0,0,0,32.4,0,1.26
 72-82,3.07,0,42.53,0,6.25,0,0,0,0,1,0,3.32,0,1.29,81.18,0,0,0,0,0,8.28,0,0
 84-94,0.81,0,26.04,0,6.19,0,0,0,0,0,0,7.52,2.67,0,85.35,0,1.32,0,0,0,13.6,0,0
 96-106,1.04,0,21.06,0.87,11.01,0,0.8,0,2.85,0,1.54,0.82,0,0,51.92,2.04,0,3.67,0.57,0,4.85,0,0
108-118,1.27,0,27.77,0,1.62,3.41,0,0.71,0,1.68,0,2.05,0,1.32,49.96,0,0,0.84,1.06,0,11.76,4.36,0
120,2.09,0,66.54,0,2.31,0,0,0,0,0,0,0,0,0,111.85,0,0,3.96,0,0,19.76,0,0
