stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.18,0,0,0,0,0,0,0,0,0,0,2.65,0,0,12.75,11.06,36.53,0,0.96,0,0.89,1.78,1.68,0,7.43,2.94,0,0,0,0
 24-34,0,2.97,0,0,0,0,0,0,0,0,0,0,24.29,0,0,22.67,64.96,4.47,0,1.88,0,0,0,0,1.83,5.91,10.83,0,0,1.05,0
 36-46,0,3.87,0,7.22,0,0,3.04,11.33,0,0,0,0,57.92,0,0.74,17.15,104.29,1.35,0,8.27,0,0,0,0,0,0,14.17,0,5.7,0,0
 48-58,0,0.99,0,4.33,0,0,3.26,61.13,0,0.4,0,0,49.29,0,0,1.96,114.77,9.5,0.88,5.14,0,0,0,0,0,0,24.77,0,0,0,0
 60-70,0,0,0,22.88,0,4.93,2.63,104.26,0,1.14,0,0,156.97,0,10.22,7.7,67.87,0,0,10.18,0,0,0,0,0,0,14.77,0,0.69,0,0
 72-82,0,0,0,16.2,2.62,0,1.27,59.21,0.56,0,0,0,127.65,0,1.15,5.52,80.75,0,0,6.45,2.41,0.58,0,0,0,0,4.9,0,0,1.94,0
 84-94,0,1.59,0.88,14.95,0,0,1.55,49.12,0,0.58,0.96,0,125.64,0,8.85,8.05,74.22,0,0,9.6,0,0.56,0,0,0,0,11.5,0,1.67,1.43,2.23
 96-106,0,1,3.57,15.69,0.64,0,0,71.81,0,0.89,0,4.24,84.76,5.92,0,2.39,64.02,0,0.58,12.47,0,2.33,0,0,0,0,6.37,1.66,1.48,0,0
108-118,0,2.82,0,14.61,0,0,1.02,75.11,0,0.75,0,0.49,107.21,0,2.16,3.82,65.84,2.09,0,17.38,1.1,6.06,0,0,0,0,2.82,0,0,0.46,2.23
120,0,6.47,0,26.76,0,0,4.8,57.39,0,0,0,0,44.01,0,0,2,80.55,0,0,29.03,0,0,0,0,0,0,0,0,0,0,2.66
